,variety.Estimate.Intercept,variety.Est.Error.Intercept,variety.Q2.5.Intercept,variety.Q97.5.Intercept,variety.Estimate.log_price,variety.Est.Error.log_price,variety.Q2.5.log_price,variety.Q97.5.log_price
Alsace white blend,0.0261388639225,0.978145589601425,-1.84412625,1.98381524999999,-0.017014851718,0.269233552566118,-0.575230825,0.545792499999999
Bordeaux-style Red Blend,0.4939000500505,0.494196097481142,-0.390822775,1.52117,-0.16169226385765,0.146503220538437,-0.4723592,0.0991711549999997
Bordeaux-style White Blend,-0.1300055924865,0.605645125252795,-1.33939425,1.027781,0.019050362136765,0.184010560352281,-0.34888465,0.385014575
Cabernet Franc,0.3311921790015,0.82076288036573,-1.20744725,2.1836105,-0.05541541134899,0.262256474870155,-0.657112475,0.416510524999999
Cabernet Sauvignon,-1.3325695728,1.01180311661802,-3.5393895,0.552396899999998,0.015429544443,0.333447452114107,-0.63862815,0.672653549999998
Champagne Blend,0.3848766091025,0.867181970316502,-1.0491765,2.2842715,-0.3205764777548,0.222424862417808,-0.80752275,0.0379637499999999
Chardonnay,-0.79618657968025,0.503040770691235,-1.8218755,0.147708149999999,0.0504112763011,0.139208392323987,-0.22565225,0.3321833
Chenin Blanc,-0.14500556728,0.814679575569082,-1.9543755,1.247265,0.184914731836,0.259786558279251,-0.240619775,0.789878875
Chenin Blanc-Chardonnay,-0.03751137049465,0.96832827941928,-1.95849975,1.89913175,-0.0154211762915,0.286008955678849,-0.6396227,0.547583799999998
Gamay,-0.2877863929295,0.78892636532951,-2.14430475,1.13343725,0.11302449354085,0.271686491759993,-0.358327375,0.752881725
Gewürztraminer,-0.903127596997,1.00542341626169,-3.3351645,0.572274375,0.1598846587725,0.286463417962642,-0.2728756,0.856050449999999
Grenache,0.008571211122,1.01425895500741,-1.97125425,2.17872475,-0.087454471699,0.278940354839888,-0.7173698,0.436672074999999
Malbec,1.2943873297645,0.836703902002607,-0.1267762,3.20594075,-0.1262302798655,0.25361672925867,-0.7166728,0.288055525
Malbec-Merlot,0.54144969137235,0.979330292731367,-1.4408015,2.51906375,0.06859827278525,0.291047469331294,-0.523063475,0.738113949999999
Marsanne,-0.53664199847975,0.977401099175937,-2.52658175,1.35166675,-0.0698437975395,0.244167155760569,-0.562784,0.417269375
Melon,0.2330108103585,0.856724869606199,-1.42220375,2.08126725,-0.0098157317775,0.261352029064229,-0.572551775,0.533559399999999
Merlot,-1.137197391662,0.932241491210909,-3.17271075,0.527964175,0.0261225727615,0.311295359330673,-0.568118475,0.713114074999999
Muscat,0.3371078192715,1.08075072390667,-1.83038475,2.466887,0.0866239203121,0.29176928446584,-0.4539431,0.733878424999999
Petit Manseng,0.351559462945,1.05841250959558,-1.6972645,2.544695,0.045323665869,0.294609112072395,-0.551129625,0.682968425
Pinot Blanc,0.1833741255845,0.858206021343753,-1.44200425,2.07800175,-0.059312748310885,0.275568819049298,-0.6819689,0.45134855
Pinot Gris,-0.289828808839,0.944880747554583,-2.4180015,1.35553725,0.08374086797655,0.255834456389283,-0.3802409,0.676695525
Pinot Noir,-0.95351536969,0.566031826435287,-2.1192485,0.139421374999999,-0.03658078497392,0.15125571192645,-0.34367105,0.253086425
Red Blend,0.272504797141,0.719269601208488,-1.10916,1.78708125,-0.02754788658985,0.22366966369395,-0.52118155,0.42932025
Rhône-style Red Blend,0.931683681895,0.744674028578895,-0.28474115,2.64247875,-0.1960125297845,0.234432495144108,-0.740817375,0.176241425
Rhône-style White Blend,0.0956331610825,0.87306282373455,-1.47791225,2.14180025,-0.1425170844045,0.258148603705478,-0.754933625,0.29772865
Riesling,-0.3970071504685,0.871844262939694,-2.31943675,1.16611725,0.14132381846219,0.248180434171047,-0.296610075,0.698281175
Rosé,0.3598963882175,0.656929415143478,-1.0001625,1.724957,0.0274492966717,0.21836863515982,-0.438537875,0.483523799999999
Sauvignon Blanc,-0.5054581285575,0.703044759702448,-2.04052825,0.782230275,0.14729610083175,0.215799257758382,-0.24218615,0.61487125
Sparkling Blend,-0.541052950571,0.822010157296267,-2.35193275,1.01654,0.0438131901795,0.26855770015379,-0.4912158,0.655205925
Sylvaner,0.8918948764395,1.16561490620578,-1.42028475,3.33288,0.08926988515255,0.347063010866636,-0.605936875,0.852182474999997
Syrah,0.068523476649,0.698038282287746,-1.27751475,1.53290825,-0.13504370389035,0.185835089224474,-0.547850525,0.1997928
Tannat,1.3902580734435,1.24202181777628,-1.04797675,3.95973674999999,0.119058688257,0.366957446608121,-0.60123615,0.8704322
Tannat-Cabernet,0.5699235301235,1.08373743339272,-1.5375025,2.80649675,0.067041967547,0.303303383287313,-0.519171075,0.715769749999999
Viognier,-0.67105831939,0.978489403686865,-2.72026025,1.37161325,-0.1077737811035,0.270062856655919,-0.716547225,0.414750424999999
White Blend,-0.02490898649475,0.737654162081756,-1.5886265,1.425881,0.0896526374883,0.245515172416426,-0.4043931,0.635714824999999
