,variety.Estimate.Intercept,variety.Est.Error.Intercept,variety.Q2.5.Intercept,variety.Q97.5.Intercept
Alsace white blend,-0.0162156251355,0.478861078999746,-0.939967425,0.927711475
Bordeaux-style Red Blend,-0.0237082183135,0.185236515881722,-0.384269475,0.343044925
Bordeaux-style White Blend,-0.062243064407,0.25132531528505,-0.5549508,0.428872125
Cabernet Franc,0.1541561630873,0.360426543805014,-0.555563275,0.851148
Cabernet Sauvignon,-1.28968562763,0.571620190352445,-2.4676385,-0.2447682
Champagne Blend,-0.83871438795,0.232892687299232,-1.297012,-0.379489025
Chardonnay,-0.5585345224705,0.185994197792375,-0.9213152,-0.192333475
Chenin Blanc,0.4084880479335,0.295204201258297,-0.19001015,0.991661575
Chenin Blanc-Chardonnay,-0.0658244765125,0.633544415512154,-1.32769225,1.2016615
Gamay,0.004759685327875,0.285772319522367,-0.57064395,0.546855875000001
Gewürztraminer,-0.348398576277,0.338305544022494,-1.02323,0.30686405
Grenache,-0.207174556576,0.613836426697944,-1.4420835,0.98884005
Malbec,0.917750483175,0.264027553904285,0.4011745,1.44366625
Malbec-Merlot,0.711136801395,0.539089408956106,-0.34689645,1.778416
Marsanne,-0.73782747691875,0.483411524280524,-1.703576,0.19799125
Melon,0.18522725147575,0.486485711274178,-0.785451275,1.14966275
Merlot,-1.0760020954625,0.470860285507882,-2.045097,-0.201440125
Muscat,0.576524723589,0.634314009125239,-0.628160975,1.9020415
Petit Manseng,0.491987702178,0.654784987963387,-0.733891075,1.841213
Pinot Blanc,0.00545494833315,0.380563631993522,-0.755715225,0.761095775
Pinot Gris,0.0149355717589475,0.352422429715094,-0.657010825,0.70367225
Pinot Noir,-1.0423628705,0.20271708904597,-1.44842175,-0.649181375
Red Blend,0.18671157084875,0.327084558758098,-0.46257985,0.837386775
Rhône-style Red Blend,0.33274748047975,0.229031216405325,-0.114120925,0.776599725
Rhône-style White Blend,-0.331103735442775,0.358835032869246,-1.03808225,0.3755841
Riesling,0.09736991681653,0.27043611772888,-0.431244125,0.612748075
Rosé,0.4311498858605,0.211965002689861,0.01007828175,0.8379375
Sauvignon Blanc,-0.029120158488875,0.232440742803708,-0.491254275,0.409371325
Sparkling Blend,-0.42299613746575,0.347495684987674,-1.10065525,0.252317125
Sylvaner,1.116077658865,0.625143872737762,-0.0785017225,2.43372175
Syrah,-0.3977290463328,0.263040717270909,-0.937715825,0.10633655
Tannat,1.723886128075,0.532474160514904,0.73019725,2.82968225
Tannat-Cabernet,0.7121456111925,0.643591762331471,-0.4927559,2.046599
Viognier,-0.9691687785715,0.450166307196418,-1.86735975,-0.134049375
White Blend,0.211538816978225,0.337449219890879,-0.45112845,0.8569673
