,variety.Estimate.log_price,variety.Est.Error.log_price,variety.Q2.5.log_price,variety.Q97.5.log_price
Alsace white blend,-0.01737907927175,0.135936867085447,-0.289553525,0.2497178
Bordeaux-style Red Blend,-0.031200852485195,0.057687386571465,-0.144026525,0.0809592025
Bordeaux-style White Blend,-0.021480057378725,0.0796243426034113,-0.179622025,0.13099955
Cabernet Franc,0.04093123173175,0.121113166472527,-0.19440825,0.28750405
Cabernet Sauvignon,-0.38434055444425,0.19840408063707,-0.793217775,-0.0219478725
Champagne Blend,-0.24374237014,0.0647798359298775,-0.3715213,-0.1186313
Chardonnay,-0.158366280776,0.0561358345623689,-0.270824575,-0.0477877624999999
Chenin Blanc,0.147585041468,0.0958640319544728,-0.032640955,0.3394566
Chenin Blanc-Chardonnay,-0.026873546008425,0.200027128788487,-0.439628225,0.36414495
Gamay,0.0231552910422075,0.0968813514470003,-0.171781475,0.209588225
Gewürztraminer,-0.08713779755245,0.10233036988009,-0.286001325,0.111267175
Grenache,-0.103062681670975,0.195064918988292,-0.502121325,0.27644765
Malbec,0.2541522582425,0.0814532093639075,0.102007275,0.41569335
Malbec-Merlot,0.22634466794475,0.180069093198265,-0.11984345,0.593573875
Marsanne,-0.2143815182905,0.131235293550254,-0.471721725,0.0410026900000001
Melon,0.0613484073613,0.160728000844483,-0.262476625,0.377529925
Merlot,-0.33081076430675,0.162779334897565,-0.663227125,-0.0187292975
Muscat,0.186789009312361,0.186626292410777,-0.173559875,0.56208425
Petit Manseng,0.1444284308505,0.198257543307068,-0.24292975,0.55080015
Pinot Blanc,-0.0032216911147475,0.124492239928449,-0.246590225,0.2383012
Pinot Gris,0.00720936462235,0.098833953484453,-0.1938792,0.191928575
Pinot Noir,-0.279936025525,0.0596079808197033,-0.400022375,-0.1646695
Red Blend,0.0506976618048,0.103484462059218,-0.1555657,0.2569766
Rhône-style Red Blend,0.082872905541725,0.0704762929958734,-0.0552376375,0.221387925
Rhône-style White Blend,-0.1233890229825,0.105431081219066,-0.331572825,0.083157215
Riesling,0.0289996833958525,0.0807959289470048,-0.131259525,0.185689525
Rosé,0.15317839706625,0.0682068279729975,0.0192130575,0.286809075
Sauvignon Blanc,-0.000585297086855,0.0710661219584489,-0.144406,0.13611135
Sparkling Blend,-0.125150836297675,0.115905593068318,-0.3562902,0.104294475
Sylvaner,0.33527945208475,0.196124985392727,-0.0186117425,0.756749875
Syrah,-0.1326982188555,0.0751235079126785,-0.281923075,0.011925285
Tannat,0.507566757775,0.171236295896599,0.18475575,0.855539725
Tannat-Cabernet,0.227046382219108,0.205657906176494,-0.149404525,0.65269365
Viognier,-0.29818071086,0.136256427821028,-0.5682281,-0.0313480774999999
White Blend,0.0929379696152,0.112401975859042,-0.126386725,0.3125887
