"","prior","class","coef","group","resp","dpar","nlpar","lb","ub","source"
"1","normal(0, 5)","b","","","","","","","","user"
"2","","b","Crisp","","","","","","","default"
"3","","b","Full","","","","","","","default"
"4","","b","log_price","","","","","","","default"
"5","","b","Rich","","","","","","","default"
"6","","b","Soft","","","","","","","default"
"7","normal(0, 5)","Intercept","","","","","","","","user"
"8","lkj_corr_cholesky(1)","L","","","","","","","","default"
"9","","L","","variety","","","","","","default"
"10","student_t(3, 0, 3)","sd","","","","","","0","","default"
"11","gamma(1, 1)","sd","","variety","","","","","","user"
"12","","sd","Intercept","variety","","","","","","default"
"13","","sd","log_price","variety","","","","","","default"
"14","gamma(1, 1)","sigma","","","","","","0","","user"
