"","variety.Estimate.Intercept","variety.Est.Error.Intercept","variety.Q2.5.Intercept","variety.Q97.5.Intercept","variety.Estimate.log_price","variety.Est.Error.log_price","variety.Q2.5.log_price","variety.Q97.5.log_price"
"Alsace white blend",0.361786519070785,1.54780237497775,-2.344995,4.0298505,18.823292225,1.60571933151624,15.8180425,22.178675
"Bordeaux-style Red Blend",1.00471787335935,1.26855669110851,-0.85220285,4.22804725,18.63575715,1.57585541635398,15.74155,21.877935
"Bordeaux-style White Blend",0.204693660020625,1.30065214380094,-1.93863975,3.16106075,18.870263225,1.57465426349008,15.99457,22.1183125
"Cabernet Franc",0.56718130162425,1.50332612080073,-1.85706925,4.1978865,18.832438425,1.59254801313165,15.821435,22.1135475
"Cabernet Sauvignon",0.29500218585675,1.49432182155637,-2.359294,3.87276,17.92987965,1.65030269027935,14.9950325,21.44411
"Champagne Blend",1.09258972036723,1.41714983342253,-1.02784325,4.694586,18.417593175,1.58436470775914,15.508585,21.677745
"Chardonnay",-0.29399842998035,1.2607342611916,-2.28159825,2.8355135,18.8501866,1.56793479231717,16.0045425,22.1139375
"Chenin Blanc",-0.42603895272525,1.45299798924875,-3.191583,2.800805,19.2720146,1.59115992628635,16.2728875,22.562245
"Chenin Blanc-Chardonnay",0.344509258403,1.51445236145117,-2.218412,4.06607725,18.786362375,1.66028536474907,15.7122525,22.2445525
"Gamay",-0.29813441469,1.51807434045118,-3.18348525,2.93354375,19.11473975,1.61079013841265,16.1220175,22.4568325
"Gewürztraminer",-0.5571987754015,1.60383956037558,-3.8504185,2.8453405,19.00917345,1.59604610204563,16.0409675,22.3227675
"Grenache",0.49783187502275,1.54083338035511,-2.08463725,4.195328,18.53972595,1.61418485230036,15.5642075,21.778485
"Malbec",1.390734818985,1.50720267366492,-0.8518102,4.807069,18.8139487,1.60429582556407,15.9486825,22.1545175
"Malbec-Merlot",0.272677939721,1.6068447312302,-2.526064,4.17758525,19.36797755,1.63090463064201,16.37444,22.6472525
"Marsanne",0.03915526987475,1.38360818411087,-2.44583525,3.21881475,18.634190475,1.57847603645294,15.7123125,21.914775
"Melon",0.27122993199615,1.52795045861715,-2.391818,3.96591325,18.996032325,1.61564135574396,16.0182975,22.33103
"Merlot",-0.01414968523875,1.47105908375362,-2.701602,3.123103,18.420367575,1.63111043580426,15.3756475,21.8434825
"Muscat",0.07066968323725,1.58532180832227,-2.757069,3.606219,19.4117711,1.63262640520712,16.433085,22.801015
"Petit Manseng",0.26720191293825,1.62296926241017,-2.37017975,4.3924245,19.28711775,1.62828269824723,16.2743225,22.6443175
"Pinot Blanc",0.58847623395075,1.5037027118592,-1.968743,4.137444,18.7611525,1.60352880866663,15.860395,22.2376575
"Pinot Gris",0.01119614448175,1.5655923328654,-2.8250285,3.57445025,18.95380265,1.58774061453303,16.0244425,22.242355
"Pinot Noir",-0.380635487548175,1.23335398147903,-2.4889855,2.59592125000001,18.741779625,1.57232545833523,15.8513225,22.01831
"Red Blend",0.529321421606,1.48496627769307,-1.87085875,4.07365775,18.86017975,1.58197197973166,15.9534,22.19168
"Rhône-style Red Blend",1.44091839192075,1.45663371351721,-0.6366388,5.016631,18.6003052,1.59007648216454,15.6593175,21.8521475
"Rhône-style White Blend",0.75374922048775,1.48187659374224,-1.58630575,4.32146225,18.580064875,1.57237191684091,15.65119,21.84275
"Riesling",-0.25140631053235,1.50582845658635,-3.0172265,3.48936125,19.056004625,1.59283449884358,16.1088525,22.32871
"Rosé",0.498404280218075,1.38166628658814,-1.7384785,3.78855275,18.9602508,1.6001171475429,16.1023175,22.2744125
"Sauvignon Blanc",-0.34997958660225,1.38067711829884,-2.7417745,2.99582025,19.064115025,1.58823026149631,16.1571125,22.34213
"Sparkling Blend",0.0056468448395,1.6082668818266,-3.00623675,3.6700645,18.80862045,1.61299402750444,15.8390775,22.130465
"Sylvaner",0.1668472939525,1.56783832852548,-2.80146075,3.82432450000001,19.737497625,1.61374355606089,16.7188125,23.1073275
"Syrah",0.6415267556446,1.40759523741489,-1.4637705,3.98506525,18.633402925,1.5774613408399,15.7029025,21.8989075
"Tannat",0.556604822713425,1.61612901684757,-2.0981955,4.74622375,19.6342645,1.60100191162128,16.68289,22.95568
"Tannat-Cabernet",0.0499866852974,1.60203076384144,-2.94431725,3.407883,19.693215075,1.63535561583339,16.6814325,23.104735
"Viognier",0.1495637145575,1.42540423626278,-2.3496275,3.33826325,18.4846289,1.59248643648459,15.5802125,21.7875425
"White Blend",-0.060272524608,1.46809801930473,-2.689434,3.17363925,19.11578065,1.60393057227261,16.1432625,22.503655
