,AVAILABLE BIKES
2018-08-01,612.0
2018-08-02,1658.0
2018-08-03,1345.0
2018-08-04,542.0
2018-08-05,692.0
2018-08-06,621.0
2018-08-07,1545.0
2018-08-08,1651.0
2018-08-09,1815.0
2018-08-10,1380.0
2018-08-11,601.0
2018-08-12,524.0
2018-08-13,1607.0
2018-08-14,1689.0
2018-08-15,1536.0
2018-08-16,1474.0
2018-08-17,1515.0
2018-08-18,692.0
2018-08-19,500.0
2018-08-20,1479.0
2018-08-21,1944.0
2018-08-22,1821.0
2018-08-23,1521.0
2018-08-24,1568.0
2018-08-25,437.0
2018-08-26,473.0
2018-08-27,1702.0
2018-08-28,1585.0
2018-08-29,1723.0
2018-08-30,1550.0
2018-08-31,1524.0
2018-09-01,636.0
2018-09-02,527.0
2018-09-03,1437.0
2018-09-04,1687.0
2018-09-05,1893.0
2018-09-06,1474.0
2018-09-07,1553.0
2018-09-08,658.0
2018-09-09,641.0
2018-09-10,1634.0
2018-09-11,1670.0
2018-09-12,1775.0
2018-09-13,1856.0
2018-09-14,1307.0
2018-09-15,641.0
2018-09-16,558.0
2018-09-17,1516.0
2018-09-18,1841.0
2018-09-19,1564.0
2018-09-20,1235.0
2018-09-21,1521.0
2018-09-22,532.0
2018-09-23,581.0
2018-09-24,1737.0
2018-09-25,1757.0
2018-09-26,1834.0
2018-09-27,1691.0
2018-09-28,1593.0
2018-09-29,578.0
2018-09-30,542.0
2018-10-01,1700.0
2018-10-02,1676.0
2018-10-03,1938.0
2018-10-04,1820.0
2018-10-05,1594.0
2018-10-06,606.0
2018-10-07,507.0
2018-10-08,1695.0
2018-10-09,1809.0
2018-10-10,1836.0
2018-10-11,1774.0
2018-10-12,1473.0
2018-10-13,568.0
2018-10-14,505.0
2018-10-15,1644.0
2018-10-16,1899.0
2018-10-17,1815.0
2018-10-18,1982.0
2018-10-19,1702.0
2018-10-20,670.0
2018-10-21,541.0
2018-10-22,1821.0
2018-10-23,1889.0
2018-10-24,1752.0
2018-10-25,1725.0
2018-10-26,1391.0
2018-10-27,423.0
2018-10-28,622.0
2018-10-29,478.0
2018-10-30,1501.0
2018-10-31,1441.0
2018-11-01,1642.0
2018-11-02,1272.0
2018-11-03,400.0
2018-11-04,410.0
2018-11-05,1478.0
2018-11-06,1515.0
2018-11-07,1257.0
2018-11-08,1650.0
2018-11-09,1323.0
2018-11-10,466.0
2018-11-11,440.0
2018-11-12,1587.0
2018-11-13,1741.0
2018-11-14,1576.0
2018-11-15,1759.0
2018-11-16,1589.0
2018-11-17,632.0
2018-11-18,544.0
2018-11-19,1705.0
2018-11-20,1331.0
2018-11-21,1020.0
2018-11-22,1613.0
2018-11-23,1464.0
2018-11-24,389.0
2018-11-25,563.0
2018-11-26,1344.0
2018-11-27,1143.0
2018-11-28,1511.0
2018-11-29,1468.0
2018-11-30,1406.0
2018-12-01,431.0
2018-12-02,515.0
2018-12-03,1576.0
2018-12-04,1566.0
2018-12-05,1599.0
2018-12-06,1572.0
2018-12-07,1400.0
2018-12-08,513.0
2018-12-09,429.0
2018-12-10,1395.0
2018-12-11,1470.0
2018-12-12,1515.0
2018-12-13,1493.0
2018-12-14,1265.0
2018-12-15,407.0
2018-12-16,425.0
2018-12-17,1254.0
2018-12-18,1420.0
2018-12-19,1569.0
2018-12-20,1523.0
2018-12-21,954.0
2018-12-22,442.0
2018-12-23,300.0
2018-12-24,516.0
2018-12-25,292.0
2018-12-26,254.0
2018-12-27,373.0
2018-12-28,495.0
2018-12-29,401.0
2018-12-30,345.0
2018-12-31,467.0
2019-01-01,314.0
2019-01-02,1109.0
2019-01-03,1214.0
2019-01-04,1089.0
2019-01-05,505.0
2019-01-06,426.0
2019-01-07,1497.0
2019-01-08,1631.0
2019-01-09,1695.0
2019-01-10,1322.0
2019-01-11,1324.0
2019-01-12,437.0
2019-01-13,523.0
2019-01-14,1498.0
2019-01-15,1529.0
2019-01-16,1565.0
2019-01-17,1564.0
2019-01-18,1537.0
2019-01-19,436.0
2019-01-20,440.0
2019-01-21,1565.0
2019-01-22,1686.0
2019-01-23,1651.0
2019-01-24,1429.0
2019-01-25,1692.0
2019-01-26,363.0
2019-01-27,390.0
2019-01-28,1355.0
2019-01-29,1576.0
2019-01-30,1499.0
2019-01-31,1184.0
2019-02-01,1394.0
2019-02-02,512.0
2019-02-03,314.0
2019-02-04,1468.0
2019-02-05,1418.0
2019-02-06,1554.0
2019-02-07,1428.0
2019-02-08,1277.0
2019-02-09,495.0
2019-02-10,406.0
2019-02-11,1423.0
2019-02-12,1672.0
2019-02-13,1504.0
2019-02-14,1692.0
2019-02-15,1488.0
2019-02-16,477.0
2019-02-17,576.0
2019-02-18,1395.0
2019-02-19,1497.0
2019-02-20,1548.0
2019-02-21,1678.0
2019-02-22,1376.0
2019-02-23,489.0
2019-02-24,593.0
2019-02-25,1376.0
2019-02-26,1510.0
2019-02-27,1613.0
2019-02-28,1673.0
2019-03-01,1351.0
2019-03-02,541.0
2019-03-03,463.0
2019-03-04,1582.0
2019-03-05,1697.0
2019-03-06,1590.0
2019-03-07,1494.0
2019-03-08,446.0
2019-03-09,576.0
2019-03-10,486.0
2019-03-11,1511.0
2019-03-12,1575.0
2019-03-13,1503.0
2019-03-14,1446.0
2019-03-15,1309.0
2019-03-16,464.0
2019-03-17,329.0
2019-03-18,486.0
2019-03-19,1596.0
2019-03-20,1575.0
2019-03-21,1765.0
2019-03-22,1568.0
2019-03-23,658.0
2019-03-24,360.0
2019-03-25,1565.0
2019-03-26,1619.0
2019-03-27,1550.0
2019-03-28,1687.0
2019-03-29,1545.0
2019-03-30,524.0
2019-03-31,551.0
2019-04-01,1615.0
2019-04-02,1538.0
2019-04-03,1558.0
2019-04-04,1234.0
2019-04-05,1294.0
2019-04-06,515.0
2019-04-07,507.0
2019-04-08,1353.0
2019-04-09,1545.0
2019-04-10,2129.0
2019-04-11,1589.0
2019-04-12,1356.0
2019-04-13,556.0
2019-04-14,535.0
2019-04-15,1295.0
2019-04-16,1657.0
2019-04-17,1660.0
2019-04-18,1633.0
2019-04-19,713.0
2019-04-20,548.0
2019-04-21,575.0
2019-04-22,475.0
2019-04-23,1319.0
2019-04-24,1247.0
2019-04-25,1305.0
2019-04-26,1247.0
2019-04-27,461.0
2019-04-28,484.0
2019-04-29,1729.0
2019-04-30,1737.0
2019-05-01,1630.0
2019-05-02,1776.0
2019-05-03,1345.0
2019-05-04,480.0
2019-05-05,431.0
2019-05-06,400.0
2019-05-07,1550.0
2019-05-08,1259.0
2019-05-09,1280.0
2019-05-10,1261.0
2019-05-11,506.0
2019-05-12,591.0
2019-05-13,1757.0
2019-05-14,1805.0
2019-05-15,1827.0
2019-05-16,1662.0
2019-05-17,1489.0
2019-05-18,582.0
2019-05-19,579.0
2019-05-20,1435.0
2019-05-21,1804.0
2019-05-22,1823.0
2019-05-23,1692.0
2019-05-24,1522.0
2019-05-25,428.0
2019-05-26,633.0
2019-05-27,1318.0
2019-05-28,1628.0
2019-05-29,1474.0
2019-05-30,1715.0
2019-05-31,1498.0
2019-06-01,711.0
2019-06-02,484.0
2019-06-03,467.0
2019-06-04,841.0
2019-06-05,1401.0
2019-06-06,1601.0
2019-06-07,1524.0
2019-06-08,534.0
2019-06-09,496.0
2019-06-10,1655.0
2019-06-11,1757.0
2019-06-12,426.0
2019-07-01,1427.0
2019-07-02,1581.0
2019-07-03,1823.0
2019-07-04,1786.0
2019-07-05,1617.0
2019-07-06,624.0
2019-07-07,712.0
2019-07-08,1594.0
2019-07-09,1784.0
2019-07-10,1759.0
2019-07-11,1684.0
2019-07-12,1456.0
2019-07-13,689.0
2019-07-14,830.0
2019-07-15,1794.0
2019-07-16,1657.0
2019-07-17,1712.0
2019-07-18,1508.0
2019-07-19,1368.0
2019-07-20,714.0
2019-07-21,685.0
2019-07-22,1563.0
2019-07-23,1683.0
2019-07-24,1777.0
2019-07-25,1617.0
2019-07-26,1661.0
2019-07-27,575.0
2019-07-28,707.0
2019-07-29,1455.0
2019-07-30,1556.0
2019-07-31,1441.0
2019-08-01,1518.0
2019-08-02,1223.0
2019-08-03,603.0
2019-08-04,406.0
2019-08-05,459.0
2019-08-06,1205.0
2019-08-07,1621.0
2019-08-08,1571.0
2019-08-09,1276.0
2019-08-10,593.0
2019-08-11,407.0
2019-08-12,1463.0
2019-08-13,1572.0
2019-08-14,1495.0
2019-08-15,1513.0
2019-08-16,1620.0
2019-08-17,538.0
2019-08-18,538.0
2019-08-19,1510.0
2019-08-20,1461.0
2019-08-21,1422.0
2019-08-22,1523.0
2019-08-23,1516.0
2019-08-24,654.0
2019-08-25,487.0
2019-08-26,1511.0
2019-08-27,1660.0
2019-08-28,1632.0
2019-08-29,1570.0
2019-08-30,1387.0
2019-08-31,530.0
2019-09-01,565.0
2019-09-02,1370.0
2019-09-03,1528.0
2019-09-04,1571.0
2019-09-05,1572.0
2019-09-06,1570.0
2019-09-07,519.0
2019-09-08,439.0
2019-09-09,1498.0
2019-09-10,1569.0
2019-09-11,1637.0
2019-09-12,1804.0
2019-09-13,1464.0
2019-09-14,687.0
2019-09-15,384.0
2019-09-16,1397.0
2019-09-17,1729.0
2019-09-18,1790.0
2019-09-19,1850.0
2019-09-20,1612.0
2019-09-21,521.0
2019-09-22,434.0
2019-09-23,1560.0
2019-09-24,1819.0
2019-09-25,1805.0
2019-09-26,1668.0
2019-09-27,1552.0
2019-09-28,455.0
2019-09-29,556.0
2019-09-30,1387.0
2019-10-01,1114.0
2019-10-02,1687.0
2019-10-03,1622.0
2019-10-04,1335.0
2019-10-05,427.0
2019-10-06,455.0
2019-10-07,1572.0
2019-10-08,1703.0
2019-10-09,1587.0
2019-10-10,1775.0
2019-10-11,1499.0
2019-10-12,494.0
2019-10-13,496.0
2019-10-14,1306.0
2019-10-15,1691.0
2019-10-16,1698.0
2019-10-17,1571.0
2019-10-18,1453.0
2019-10-19,442.0
2019-10-20,449.0
2019-10-21,1470.0
2019-10-22,1617.0
2019-10-23,1576.0
2019-10-24,1493.0
2019-10-25,1226.0
2019-10-26,498.0
2019-10-27,578.0
2019-10-28,429.0
2019-10-29,1173.0
2019-10-30,1647.0
2019-10-31,1373.0
2019-11-01,1263.0
2019-11-02,420.0
2019-11-03,516.0
2019-11-04,948.0
2019-11-05,1489.0
2019-11-06,1707.0
2019-11-07,1013.0
2019-11-08,1543.0
2019-11-09,453.0
2019-11-10,408.0
2019-11-11,1306.0
2019-11-12,1531.0
2019-11-13,1359.0
2019-11-14,1364.0
2019-11-15,1840.0
2019-11-16,673.0
2019-11-17,360.0
2019-11-18,1417.0
2019-11-19,1510.0
2019-11-20,1330.0
2019-11-21,1198.0
2019-11-22,1479.0
2019-11-23,402.0
2019-11-24,374.0
2019-11-25,1208.0
2019-11-26,1208.0
2019-11-27,1428.0
2019-11-28,1435.0
2019-11-29,1257.0
2019-11-30,463.0
2019-12-01,354.0
2019-12-02,1500.0
