,iteration,x,f(x),sum,epsilon,converged,gradient,m,v,beta1,beta2,alpha
0,0,[0 0],2685,<built-in function sum>,0.0001,False,[-1500 -180],[0. 0.],[0. 0.],0.8,0.9,0.01
1,1,[0.00999999933333338 0.00999999444444753],2668.24594202290,<built-in function sum>,0.0001,False,[-1500 -180],[-300.000000000000 -36.0000000000000],[225000.000000000 3240.00000000000],0.8,0.9,0.01
2,2,[0.0199981972787808 0.0199996622689301],2651.58625290042,<built-in function sum>,0.0001,False,[-1491.01798859760 -179.800000111111],[-538.203597719520 -64.7600000222222],[424813.464232164 6148.80400399555],0.8,0.9,0.01
3,3,[0.0299934206845783 0.0299987912602079],2635.02229169251,<built-in function sum>,0.0001,False,[-1482.07351349605 -179.600006754621],[-726.977580874825 -87.7280013687020],[601986.307749599 8759.53984622200],0.8,0.9,0.01
4,4,[0.0399845406197154 0.0399971776419660],2618.55531052564,<built-in function sum>,0.0001,False,[-1473.16752654819 -179.400024174796],[-876.215570009498 -106.062405929921],[758809.933102250 11102.0227289915],0.8,0.9,0.01
5,5,[0.0499704892310501 0.0499946291500993],2602.18643192092,<built-in function sum>,0.0001,False,[-1464.30092376031 -179.200056447161],[-993.832640759661 -120.689936033369],[897346.659324556 13203.0864791589],0.8,0.9,0.01
6,6,[0.0599502743879125 0.0599909676907692],2585.91663027224,<built-in function sum>,0.0001,False,[-1455.47453130937 -179.000107416998],[-1086.16101886960 -132.351970310095],[1019452.60452112 15086.8816767727],0.8,0.9,0.01
7,7,[0.0699229917022663 0.0699860315073380],2569.74671792739,<built-in function sum>,0.0001,False,[-1446.68909386183 -178.800180646185],[-1158.26663386805 -141.641612377313],[1126798.27749889 16775.1439690063],0.8,0.9,0.01
8,8,[0.0798878336718289 0.0799796768119679],2553.67733606590,<built-in function sum>,0.0001,False,[-1437.94526549563 -178.600279369853],[-1214.20236019357 -149.033345775821],[1220887.10840513 18287.4355512046],0.8,0.9,0.01
9,9,[0.0898440958548401 0.0899717788675063],2537.70895031791,<built-in function sum>,0.0001,False,[-1429.24360337664 -178.400406463761],[-1257.21060883018 -154.906757913409],[1303072.12534392 19641.3624987277],0.8,0.9,0.01
10,10,[0.0997911801351739 0.0999622325328482],2521.84185084880,<built-in function sum>,0.0001,False,[-1420.58456419438 -178.200564422650],[-1289.88539990302 -159.565519215257],[1374570.96321226 20852.7703649100],0.8,0.9,0.01
11,11,[0.109728595264781 0.109950952308377],2506.07615645828,<built-in function sum>,0.0001,False,[-1411.96850323052 -178.000755349343],[-1314.30202056852 -163.252566442074],[1436479.37230254 21935.9202189127],0.8,0.9,0.01
12,12,[0.119655954970259 0.119937871936131],2490.41182211622,<built-in function sum>,0.0001,False,[-1403.39567582552 -177.800980953832],[-1332.12075161992 -166.162249344426],[1489783.37736487 22903.6470798359],0.8,0.9,0.01
13,13,[0.129572973978672 0.129922943621531],2474.84864928451,<built-in function sum>,0.0001,False,[-1394.86624092963 -177.601242561277],[-1344.66984948186 -168.450047987796],[1535370.22263689 23767.5025077833],0.8,0.9,0.01
14,14,[0.139479462354982 0.139906136949925],2459.38629834877,<built-in function sum>,0.0001,False,[-1386.38026637478 -177.401541127569],[-1353.01193286045 -170.240346615751],[1574038.22467254 24537.8829364486],0.8,0.9,0.01
15,15,[0.149375318552731 0.149887437572518],2444.02430250036,<built-in function sum>,0.0001,False,[-1377.93773548333 -177.201877261001],[-1357.99709338502 -171.632652744801],[1606505.64249218 25224.1451732861],0.8,0.9,0.01
16,16,[0.159260521565705 0.159866845733303],2428.76208245791,<built-in function sum>,0.0001,False,[-1369.53855463291 -177.002251248550],[-1360.30538563460 -172.706572445551],[1633418.66350556 25834.7103506629],0.8,0.9,0.01
17,17,[0.169135122536978 0.169844374702571],2413.59896148853,<built-in function sum>,0.0001,False,[-1361.18256142060 -176.802663085334],[-1360.48082079180 -173.525790573507],[1655358.59370656 26377.1574830032],0.8,0.9,0.01
18,18,[0.178999236138736 0.179820049174365],2398.53418027350,<built-in function sum>,0.0001,False,[-1352.86953310676 -176.603112505949],[-1358.95856325479 -174.141254959996],[1672848.33169676 26858.3076693818],0.8,0.9,0.01
19,19,[0.188853031986901 0.189793903676025],2383.56691125160,<built-in function sum>,0.0001,False,[-1344.59919506511 -176.403599016513],[-1356.08668961686 -174.593723771299],[1686358.19806406 27284.2998770415],0.8,0.9,0.01
20,20,[0.198696726303279 0.199765981028399],2368.69627216136,<built-in function sum>,0.0001,False,[-1336.37122901558 -176.204121926480],[-1352.14359749660 -174.915803402335],[1696311.18443171 27660.6591477255],0.8,0.9,0.01
21,21,[0.208530573988222 0.209736330886079],2353.92133858420,<built-in function sum>,0.0001,False,[-1328.18528086623 -176.004680379432],[-1347.35193417053 -175.133578797754],[1703087.68001951 27992.3579844995],0.8,0.9,0.01
22,22,[0.218354861220975 0.219705008378573],2339.24115536236,<built-in function sum>,0.0001,False,[-1320.04096803758 -175.805273382278],[-1341.88974094394 -175.267917714659],[1707029.72774732 28283.8716009514],0.8,0.9,0.01
23,23,[0.228169898664516 0.229672072865922],2324.65474682641,<built-in function sum>,0.0001,False,[-1311.93788618442 -175.605899832429],[-1335.89936999203 -175.335514138213],[1708444.85669319 28539.2276464519],0.8,0.9,0.01
24,24,[0.237976015317540 0.239637586816009],2310.16112581677,<built-in function sum>,0.0001,False,[-1303.87561526669 -175.406558542682],[-1329.49461904696 -175.349723019107],[1707609.53303258 28762.0509597854],0.8,0.9,0.01
25,25,[0.247773553028351 0.249601614805745],2295.75930152222,<built-in function sum>,0.0001,False,[-1295.85372495042 -175.207248263680],[-1322.76644022766 -175.321228068021],[1704772.26737611 28955.6038482200],0.8,0.9,0.01
26,26,[0.257562861663583 0.259564222644327],2281.44828618726,<built-in function sum>,0.0001,False,[-1287.87177934347 -175.007967703885],[-1315.78750805082 -175.258575995194],[1700156.41264143 29122.8223393824],0.8,0.9,0.01
27,27,[0.267344294908280 0.269525476613850],2267.22710076013,<built-in function sum>,0.0001,False,[-1279.92934108878 -174.808715547113],[-1308.61587465841 -175.168603905578],[1693962.68319528 29266.3488085673],0.8,0.9,0.01
28,28,[0.277118206662204 0.279485442820427],2253.09477956606,<built-in function sum>,0.0001,False,[-1272.02597485043 -174.609490467723],[-1301.29789469681 -175.056781218007],[1686371.42294517 29388.5613438504],0.8,0.9,0.01
29,29,[0.286884947989598 0.289444186647651],2239.05037409720,<built-in function sum>,0.0001,False,[-1264.16125023648 -174.410291143591],[-1293.87056580475 -174.927483203124],[1677544.64731060 29491.6001751446],0.8,0.9,0.01
30,30,[0.296644864575206 0.299401772303452],2225.09295601298,<built-in function sum>,0.0001,False,[-1256.33474420744 -174.211116267047],[-1286.36340148529 -174.784209815909],[1667627.88152982 29577.3914607312],0.8,0.9,0.01
31,31,[0.306398294637457 0.309358262451102],2211.22161944331,<built-in function sum>,0.0001,False,[-1248.54604302162 -174.011964553931],[-1278.79992979255 -174.629760763513],[1656751.81553133 29647.6686954499],0.8,0.9,0.01
32,32,[0.316145567249809 0.319313717915186],2197.43548268337,<built-in function sum>,0.0001,False,[-1240.79474376838 -173.812834750978],[-1271.19889258772 -174.466375561006],[1645033.79359452 29703.9919783220],0.8,0.9,0.01
33,33,[0.325887001022693 0.329268197453634],2183.73368936338,<built-in function sum>,0.0001,False,[-1233.08045553911 -173.613725641696],[-1263.57520517800 -174.295845577144],[1632579.15521832 29747.7653536088],0.8,0.9,0.01
34,34,[0.335622903100952 0.339221757587413],2170.11540917016,<built-in function sum>,0.0001,False,[-1225.40280028300 -173.414636050927],[-1255.94072419900 -174.119603671901],[1619482.44199063 29780.2524179155],0.8,0.9,0.01
35,35,[0.345353568434743 0.349174452480048],2156.57983819066,<built-in function sum>,0.0001,False,[-1217.76141339151 -173.215564848252],[-1248.30486203750 -173.938795907171],[1605828.48378610 29802.5903666938],0.8,0.9,0.01
36,36,[0.355079279285299 0.359126333859812],2143.12619893992,<built-in function sum>,0.0001,False,[-1210.15594405169 -173.016510950399],[-1240.67507844034 -173.754338915817],[1591693.37629985 29815.8026361694],0.8,0.9,0.01
37,37,[0.364800304930541 0.369077450978070],2129.75374012958,<built-in function sum>,0.0001,False,[-1202.58605540471 -172.817473322804],[-1233.05727383321 -173.566965797214],[1577145.36073525 29820.8102811203],0.8,0.9,0.01
38,38,[0.374516901539097 0.379027850597980],2116.46173622581,<built-in function sum>,0.0001,False,[-1195.05142454207 -172.618450980439],[-1225.45610397498 -173.377262833859],[1562245.61539173 29818.4422148968],0.8,0.9,0.01
39,39,[0.384229312184767 0.388977577008356],2103.24948683955,<built-in function sum>,0.0001,False,[-1187.55174236836 -172.419442988040],[-1217.87523165366 -173.185698864695],[1547048.96793277 29809.4444254378],0.8,0.9,0.01
40,40,[0.393937766976773 0.398926672058159],2090.11631598593,<built-in function sum>,0.0001,False,[-1180.08671335573 -172.220448459833],[-1210.31752799407 -172.992648783723],[1531604.53624337 29794.4882696646],0.8,0.9,0.01
41,41,[0.403642483284177 0.408875175207615],2077.06157124478,<built-in function sum>,0.0001,False,[-1172.65605521209 -172.021466558837],[-1202.78523343768 -172.798412338746],[1515956.30500159 29774.1779384034],0.8,0.9,0.01
