,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,adam,g,0,90,0.0001,False,[0 -10],[0. 0.],[0. 0.],0.25,0.5,0.01,,,0,0
1,adam,g,1,90,0.0001,False,[0 -10],[0 -7.50000000000000],[0 50.0000000000000],0.25,0.5,0.01,,,0,0.00999990000099999
2,adam,g,2,90,0.0001,False,[0 -10],[0 -9.37500000000000],[0 75.0000000000000],0.25,0.5,0.01,,,0,0.0199998000020000
3,adam,g,3,90,0.0001,False,[0 -10],[0 -9.84375000000000],[0 87.5000000000000],0.25,0.5,0.01,,,0,0.0299997000030000
4,adam,g,4,90,0.0001,False,[0 -10],[0 -9.96093750000000],[0 93.7500000000000],0.25,0.5,0.01,,,0,0.0399996000040000
5,adam,g,5,90,0.0001,False,[0 -10],[0 -9.99023437500000],[0 96.8750000000000],0.25,0.5,0.01,,,0,0.0499995000050000
6,adam,g,6,90,0.0001,False,[0 -10],[0 -9.99755859375000],[0 98.4375000000000],0.25,0.5,0.01,,,0,0.0599994000059999
7,adam,g,7,90,0.0001,False,[0 -10],[0 -9.99938964843750],[0 99.2187500000000],0.25,0.5,0.01,,,0,0.0699993000069999
8,adam,g,8,90,0.0001,False,[0 -10],[0 -9.99984741210938],[0 99.6093750000000],0.25,0.5,0.01,,,0,0.0799992000079999
9,adam,g,9,90,0.0001,False,[0 -10],[0 -9.99996185302734],[0 99.8046875000000],0.25,0.5,0.01,,,0,0.0899991000089999
10,adam,g,10,90,0.0001,False,[0 -10],[0 -9.99999046325684],[0 99.9023437500000],0.25,0.5,0.01,,,0,0.0999990000099999
11,adam,g,11,90,0.0001,False,[0 -10],[0 -9.99999761581421],[0 99.9511718750000],0.25,0.5,0.01,,,0,0.109998900011000
12,adam,g,12,90,0.0001,False,[0 -10],[0 -9.99999940395355],[0 99.9755859375000],0.25,0.5,0.01,,,0,0.119998800012000
13,adam,g,13,90,0.0001,False,[0 -10],[0 -9.99999985098839],[0 99.9877929687500],0.25,0.5,0.01,,,0,0.129998700013000
14,adam,g,14,90,0.0001,False,[0 -10],[0 -9.99999996274710],[0 99.9938964843750],0.25,0.5,0.01,,,0,0.139998600014000
15,adam,g,15,90,0.0001,False,[0 -10],[0 -9.99999999068677],[0 99.9969482421875],0.25,0.5,0.01,,,0,0.149998500015000
16,adam,g,16,90,0.0001,False,[0 -10],[0 -9.99999999767169],[0 99.9984741210938],0.25,0.5,0.01,,,0,0.159998400016000
17,adam,g,17,90,0.0001,False,[0 -10],[0 -9.99999999941792],[0 99.9992370605469],0.25,0.5,0.01,,,0,0.169998300017000
18,adam,g,18,90,0.0001,False,[0 -10],[0 -9.99999999985448],[0 99.9996185302734],0.25,0.5,0.01,,,0,0.179998200018000
19,adam,g,19,90,0.0001,False,[0 -10],[0 -9.99999999996362],[0 99.9998092651367],0.25,0.5,0.01,,,0,0.189998100019000
20,adam,g,20,90,0.0001,False,[0 -10],[0 -9.99999999999091],[0 99.9999046325684],0.25,0.5,0.01,,,0,0.199998000020000
21,adam,g,21,90,0.0001,False,[0 -10],[0 -9.99999999999773],[0 99.9999523162842],0.25,0.5,0.01,,,0,0.209997900021000
22,adam,g,22,90,0.0001,False,[0 -10],[0 -9.99999999999943],[0 99.9999761581421],0.25,0.5,0.01,,,0,0.219997800022000
23,adam,g,23,90,0.0001,False,[0 -10],[0 -9.99999999999986],[0 99.9999880790710],0.25,0.5,0.01,,,0,0.229997700023000
24,adam,g,24,90,0.0001,False,[0 -10],[0 -9.99999999999996],[0 99.9999940395355],0.25,0.5,0.01,,,0,0.239997600024000
25,adam,g,25,90,0.0001,False,[0 -10],[0 -9.99999999999999],[0 99.9999970197678],0.25,0.5,0.01,,,0,0.249997500025000
26,adam,g,26,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999985098839],0.25,0.5,0.01,,,0,0.259997400026000
27,adam,g,27,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999992549419],0.25,0.5,0.01,,,0,0.269997300027000
28,adam,g,28,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999996274710],0.25,0.5,0.01,,,0,0.279997200028000
29,adam,g,29,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999998137355],0.25,0.5,0.01,,,0,0.289997100029000
30,adam,g,30,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999999068677],0.25,0.5,0.01,,,0,0.299997000030000
31,adam,g,31,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999999534339],0.25,0.5,0.01,,,0,0.309996900031000
32,adam,g,32,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999999767169],0.25,0.5,0.01,,,0,0.319996800032000
33,adam,g,33,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999999883585],0.25,0.5,0.01,,,0,0.329996700033000
34,adam,g,34,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999999941792],0.25,0.5,0.01,,,0,0.339996600034000
35,adam,g,35,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999999970896],0.25,0.5,0.01,,,0,0.349996500034999
36,adam,g,36,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999999985448],0.25,0.5,0.01,,,0,0.359996400035999
37,adam,g,37,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999999992724],0.25,0.5,0.01,,,0,0.369996300036999
38,adam,g,38,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999999996362],0.25,0.5,0.01,,,0,0.379996200037999
39,adam,g,39,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999999998181],0.25,0.5,0.01,,,0,0.389996100038999
40,adam,g,40,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999999999091],0.25,0.5,0.01,,,0,0.399996000039999
41,adam,g,41,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999999999545],0.25,0.5,0.01,,,0,0.409995900040999
42,adam,g,42,90,0.0001,False,[0 -10],[0 -10.0000000000000],[0 99.9999999999773],0.25,0.5,0.01,,,0,0.419995800041999
