,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,adam,f,0,2685,0.0001,False,[-1500 -180],[0. 0.],[0. 0.],0.25,0.5,0.1,,,0,0
1,adam,f,1,2521.54031930080,0.0001,False,[-1500 -180],[-1125.00000000000 -135.000000000000],[1125000.00000000 16200.0000000000],0.25,0.5,0.1,,,0.0999999933333338,0.0999999444444753
2,adam,f,2,2368.08946604570,0.0001,False,[-1411.78800576240 -178.000001111110],[-1340.09100432180 -167.250000833333],[1559072.68660729 23942.0001977777],0.25,0.5,0.1,,,0.199142623339418,0.199849244728012
3,adam,f,3,2224.29201911216,0.0001,False,[-1327.81526952929 -176.003015105440],[-1330.88420322741 -173.814761537413],[1661083.03830121 27459.5307619917],0.25,0.5,0.1,,,0.297269509574466,0.299523570588081
4,adam,f,4,2089.45360320562,0.0001,False,[-1248.04865693408 -174.009528588238],[-1268.75754350741 -173.960836825532],[1609354.24418809 28869.4234007463],0.25,0.5,0.1,,,0.394485611346980,0.399045229994491
5,adam,f,5,1962.83273245626,0.0001,False,[-1172.23767835719 -172.019095400110],[-1196.36764464475 -172.504530756466],[1491747.70937417 29229.9962915093],0.25,0.5,0.1,,,0.490990011372827,0.498452021521531
6,adam,f,6,1843.77856555941,0.0001,False,[-1100.08144162937 -170.030959569569],[-1124.15299238321 -170.649352366293],[1350963.44379576 29070.2617518289],0.25,0.5,0.1,,,0.586972037779766,0.597778777177958
7,adam,f,7,1731.75536121604,0.0001,False,[-1031.31487996696 -168.044424456441],[-1054.52440807102 -168.695656433904],[1207286.91271851 28654.5951713627],0.25,0.5,0.1,,,0.682575745241500,0.697051490023446
8,adam,f,8,1626.32256164460,0.0001,False,[-965.729342418888 -166.058970199531],[-987.928108831922 -166.718141758124],[1069960.03776367 28115.0883775457],0.25,0.5,0.1,,,0.777898866865160,0.796287572277075
9,adam,f,9,1527.10737940529,0.0001,False,[-903.165088297185 -164.074248554459],[-924.355843430869 -164.735221855375],[942833.607241264 27517.7237081280],0.25,0.5,0.1,,,0.873002858531189,0.895497944022033
10,adam,f,10,1433.78241729619,0.0001,False,[-843.497403869824 -162.090041119559],[-863.712013760085 -162.751336303513],[827160.738788198 26895.4525691342],0.25,0.5,0.1,,,0.967923837616288,0.994689139123274
11,adam,f,11,1346.05027513886,0.0001,False,[-786.624424311186 -160.106217217535],[-805.896321673411 -160.767496989029],[722969.361855552 26264.7266804213],0.25,0.5,0.1,,,1.06268125699962,1.09386491075491
12,adam,f,12,1263.63382648866,0.0001,False,[-732.458408074444 -158.122701784902],[-750.817886474185 -158.783900585934],[629732.340707250 25633.7577500891],0.25,0.5,0.1,,,1.15728396353804,1.19302731826162
13,adam,f,13,1186.27037966216,0.0001,False,[-680.920053157863 -156.139453634768],[-698.394511486944 -156.800565372559],[546692.229749879 25006.6433657265],0.25,0.5,0.1,,,1.25173414702920,1.29217741609514
14,adam,f,14,1113.70828613403,0.0001,False,[-631.934993984787 -154.156451678097],[-648.549873360326 -154.817480101713],[473017.033186216 24385.4274798540],0.25,0.5,0.1,,,1.34602980025731,1.39131567267142
15,adam,f,15,1045.70501557900,0.0001,False,[-585.431719440217 -152.173686546572],[-601.211257920244 -152.834634935357],[407873.665656472 23771.1291785141],0.25,0.5,0.1,,,1.44016619830199,1.49044221774852
16,adam,f,16,982.026080774909,0.0001,False,[-541.340367631161 -150.191155645030],[-556.308090203432 -150.852025467611],[350461.529641756 23164.2562062518],0.25,0.5,0.1,,,1.53413675788077,1.58955698539631
17,adam,f,17,922.444443089460,0.0001,False,[-499.592042510408 -148.208860292074],[-513.771054433664 -148.869651585958],[300026.869290739 22565.0612376636],0.25,0.5,0.1,,,1.62793351457941,1.68865979519324
18,adam,f,18,866.740184648267,0.0001,False,[-460.118433444045 -146.226804096135],[-473.531588691450 -146.887515968591],[255867.921042871 21973.6697369166],0.25,0.5,0.1,,,1.72154736771260,1.78775039762630
19,adam,f,19,814.700326199161,0.0001,False,[-422.851607451243 -144.244992047474],[-435.521602761295 -144.905623027753],[217335.701483485 21390.1437338462],0.25,0.5,0.1,,,1.81496818402164,1.88682849906628
20,adam,f,20,766.118723460380,0.0001,False,[-387.723898560016 -142.263430018674],[-399.673324610336 -142.923978270944],[183832.761499032 20814.5136272622],0.25,0.5,0.1,,,1.90818481424872,1.98589377522404
21,adam,f,21,720.796005126859,0.0001,False,[-354.667851298954 -140.282124495519],[-365.919219626800 -140.942587939376],[154811.023122024 20246.7940401193],0.25,0.5,0.1,,,2.00118505369609,2.08494587816385
22,adam,f,22,678.539532570230,0.0001,False,[-323.616194252542 -138.301082436723],[-334.191950596106 -138.961458812386],[129769.232152261 19686.9917216443],0.25,0.5,0.1,,,2.09395556397304,2.18398443973004
23,adam,f,23,639.163370489727,0.0001,False,[-294.501830377137 -136.320311205399],[-304.424360431879 -136.980598107146],[108250.280123873 19135.1094843906],0.25,0.5,0.1,,,2.18648176475669,2.28300907297635
24,adam,f,24,602.488262753660,0.0001,False,[-267.257836821932 -134.339818540473],[-276.549467724419 -135.000013432141],[89838.5157333056 18591.1481649389],0.25,0.5,0.1,,,2.27874769930787,2.38201937247428
25,adam,f,25,568.341610334153,0.0001,False,[-241.817470359157 -132.359612550514],[-250.500469700473 -133.019712770921],[74157.1023521038 18055.1075997306],0.25,0.5,0.1,,,2.37073587430675,2.48101491397831
26,adam,f,26,536.557449645543,0.0001,False,[-218.114176381755 -130.379701720434],[-226.210749711435 -131.039704483056],[60865.4481453976 17526.9871102200],0.25,0.5,0.1,,,2.46242707246022,2.57999525370589
27,adam,f,27,506.976430330928,0.0001,False,[-196.081600447645 -128.400094925882],[-203.613887763592 -129.059997315176],[49656.7210897537 17006.7857435978],0.25,0.5,0.1,,,2.55380013477883,2.67895992736853
28,adam,f,28,479.445791915918,0.0001,False,[-175.653601915455 -126.420801452629],[-182.643673377489 -127.080600418266],[40255.4544778135 16494.5023917614],0.25,0.5,0.1,,,2.64483170811512,2.77790844902401
29,adam,f,29,453.819338931568,0.0001,False,[-156.764269537240 -124.441831019520],[-163.234120497302 -125.101523369206],[32415.2453406789 15990.1358496261],0.25,0.5,0.1,,,2.73549595230931,2.87684030978300
30,adam,f,30,429.957414188493,0.0001,False,[-139.347939065127 -122.463193804340],[-145.319484423171 -123.122776195557],[25916.5467311886 15493.6848431927],0.25,0.5,0.1,,,2.82576419997816,2.97575497638323
31,adam,f,31,407.726869907607,0.0001,False,[-123.339213055190 -120.484900472335],[-128.834280897185 -121.144369403141],[20564.5541041311 15005.1480425106],0.25,0.5,0.1,,,2.91560456052505,3.07465188963292
32,adam,f,32,387.001036403377,0.0001,False,[-108.672983148659 -118.506962207342],[-113.713307585790 -119.166314006291],[16187.1856852799 14524.5240670615],0.25,0.5,0.1,,,3.00498145828286,3.17353046271831
33,adam,f,33,367.659687984430,0.0001,False,[-95.2844551986112 -116.529390745634],[-99.8916682954060 -117.188621560798],[12633.1565438880 14051.8114873050],0.25,0.5,0.1,,,3.09385509278474,3.27239007936587
34,adam,f,34,349.589005688661,0.0001,False,[-83.1091777021790 -114.552198412683],[-87.3048003504857 -115.211304199712],[9770.14598111019 13587.0088242418],0.25,0.5,0.1,,,3.18218080696923,3.37123009184682
