,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,adam,f,0,13,0.0001,False,[12 20],[0. 0.],[0. 0.],0.25,0.5,1.0,,,6,10
1,adam,f,1,2.49997499957173e-10,0.0001,False,[12 20],[9.00000000000000 15.0000000000000],[72.0000000000000 200.000000000000],0.25,0.5,1.0,,,5.00000833326389,9.00000499997500
2,adam,f,2,1.24318592340269,0.0001,False,[6.94427083656751e-15 9.99994999801856e-5],[2.25000000000001 3.75007499962499],[36.0000000000000 100.000000005000],0.25,0.5,1.0,,,4.65360317167795,8.65359091033531
3,adam,f,3,0.222112206293880,0.0001,False,[-0.498773035408553 -6.92818179329373],[0.188420223443586 -4.25861759506405],[18.1243872704253 73.9998514829634],0.25,0.5,1.0,,,4.61154699808975,9.12401759473888
4,adam,f,4,0.00924615522137650,0.0001,False,[-0.703390813403786 2.48035189477770],[-0.480438054191943 0.795609522317260],[9.30957295340309 40.0759985024453],0.25,0.5,1.0,,,4.76460081375030,9.00185547013945
5,adam,f,5,0.0238657388609704,0.0001,False,[-0.156529471044493 0.0371094027890706],[-0.237506616831356 0.226734432671118],[4.66703721435428 20.0386878051103],0.25,0.5,1.0,,,4.87291004567439,8.95195513403421
6,adam,f,6,0.241865307423421,0.0001,False,[-0.0246328644437942 -0.960897319315706],[-0.0778513025406845 -0.663989381319000],[2.33382199618249 10.4810057316892],0.25,0.5,1.0,,,4.92347971852384,9.15548712227397
7,adam,f,7,2.74923723479239,0.0001,False,[-0.00537663955460554 3.10974244547933],[-0.0234953053011253 2.16630948877975],[1.16692545221770 10.0757519044525],0.25,0.5,1.0,,,4.94514392947693,8.47567089827604
8,adam,f,8,1.75640046093228,0.0001,False,[-0.00198086706125811 -10.4865820344793],[-0.00735947662122490 -7.32335915366453],[0.583464688026005 60.0220773351581],0.25,0.5,1.0,,,4.95475871574708,9.41909281705647
9,adam,f,9,0.175351202854679,0.0001,False,[-0.00111118410391003 8.38185634112946],[-0.00267325723323875 4.45555246743097],[0.291732961378059 65.1387965292451],0.25,0.5,1.0,,,4.95970233262203,8.86758274595748
10,adam,f,10,0.00163147858229172,0.0001,False,[-0.000785273549921855 -2.64834508085031],[-0.00125726947075108 -0.872370693779987],[0.145866789016304 36.0762640982546],0.25,0.5,1.0,,,4.96299179383444,9.01275088667360
11,adam,f,11,0.00363713640228145,0.0001,False,[-0.000608240522368523 0.255017733471959],[-0.000770497759464161 -0.0268293733410274],[0.0729335794864183 18.0706490713199],0.25,0.5,1.0,,,4.96584308074776,9.01906056890463
12,adam,f,12,0.0539354252228666,0.0001,False,[-0.000478208537318065 0.381211378092672],[-0.000551280842854589 0.279201190234247],[0.0364669040849117 9.10798559305359],0.25,0.5,1.0,,,4.96872806284504,8.92656121177618
13,adam,f,13,1.30507798539557,0.0001,False,[-0.000366982707124396 -1.46877576447636],[-0.000413057241056944 -1.03178152579871],[0.0182335193806095 5.63264391968336],0.25,0.5,1.0,,,4.97178458114431,9.36125836793393
14,adam,f,14,3.58101308460259,0.0001,False,[-0.000269550878267449 7.22516735867853],[-0.000305427468964823 5.16093013755922],[0.00911679601914276 28.9178436402985],0.25,0.5,1.0,,,4.97497993624915,8.40158443294303
15,adam,f,15,0.528929311622268,0.0001,False,[-0.000187951796789704 -11.9683113411393],[-0.000217320714833483 -7.68600097146469],[0.00455841567251034 86.0791599993714],0.25,0.5,1.0,,,4.97819392812891,9.22998448497842
16,adam,f,16,0.00452828307329882,0.0001,False,[-0.000124426694393017 4.59968969956847],[-0.000147650199503134 1.52826703181018],[0.00227921557725631 53.6181526658438],0.25,0.5,1.0,,,4.98128016527892,9.02127889721084
17,adam,f,17,0.129789656757060,0.0001,False,[-7.87203970714714e-5 0.425577944216712],[-9.59528476793869e-5 0.701250216115080],[0.00113961088707861 26.8996346262238],0.25,0.5,1.0,,,4.98411412278902,8.88607482029916
18,adam,f,18,0.723129051151954,0.0001,False,[-4.81077283706368e-5 -2.27850359401685],[-6.00690081978243e-5 -1.53356514148387],[0.000569806600716070 16.0456066270858],0.25,0.5,1.0,,,4.98662006084046,9.26891057156692
19,adam,f,19,2.50867226373984,0.0001,False,[-2.87437655563875e-5 5.37821143133846],[-3.65750762167467e-5 3.65026728813287],[0.000284903713460064 22.4853824136327],0.25,0.5,1.0,,,4.98877418331447,8.49913352916196
20,adam,f,20,1.16521841481828,0.0001,False,[-1.69759889609522e-5 -10.0173294167607],[-2.18757607749008e-5 -6.60043024053733],[0.000142452000822133 61.4161355287663],0.25,0.5,1.0,,,4.99059181175927,9.34135295389290
