,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,adam,g,0,11,0.0001,False,[1 10],[0. 0.],[0. 0.],0.25,0.5,1.0,,,6,10
1,adam,g,1,0.000199989001013812,0.0001,False,[1 10],[0.750000000000000 7.50000000000000],[0.500000000000000 50.0000000000000],0.25,0.5,1.0,,,5.00009999000100,9.00000999990000
2,adam,g,2,9.99980000199997,0.0001,False,[1 10],[0.937500000000000 9.37500000000000],[0.750000000000000 75.0000000000000],0.25,0.5,1.0,,,4.00019998000200,8.00001999980000
3,adam,g,3,4.76175714433332,0.0001,False,[0 -10],[0.234375000000000 -5.15625000000000],[0.375000000000000 87.5000000000000],0.25,0.5,1.0,,,3.63655904334595,8.52382428556667
4,adam,g,4,4.06168403301962,0.0001,False,[0 -10],[0.0585937500000000 -8.78906250000000],[0.187500000000000 93.7500000000000],0.25,0.5,1.0,,,3.50505503809429,9.40616840330196
5,adam,g,5,1.24618077689533,0.0001,False,[0 10],[0.0146484375000000 5.30273437500000],[0.0937500000000000 96.8750000000000],0.25,0.5,1.0,,,3.45793601679818,8.87538192231047
6,adam,g,6,4.92958164130467,0.0001,False,[0 -10],[0.00366210937500000 -6.17431640625000],[0.0468750000000000 98.4375000000000],0.25,0.5,1.0,,,3.44115771402582,9.49295816413047
7,adam,g,7,1.02714326315477,0.0001,False,[0 10],[0.000915527343750000 5.95642089843750],[0.0234375000000000 99.2187500000000],0.25,0.5,1.0,,,3.43520443027018,8.89728567368452
8,adam,g,8,4.98378312334699,0.0001,False,[0 -10],[0.000228881835937500 -6.01089477539063],[0.0117187500000000 99.6093750000000],0.25,0.5,1.0,,,3.43309615554217,9.49837831233470
9,adam,g,9,1.01345608829403,0.0001,False,[0 10],[5.72204589843750e-5 5.99727630615234],[0.00585937500000000 99.8046875000000],0.25,0.5,1.0,,,3.43235033149755,8.89865439117060
10,adam,g,10,4.98717055160222,0.0001,False,[0 -10],[1.43051147460938e-5 -6.00068092346191],[0.00292968750000000 99.9023437500000],0.25,0.5,1.0,,,3.43208665725156,9.49871705516022
11,adam,g,11,1.01260065029152,0.0001,False,[0 10],[3.57627868652344e-6 5.99982976913452],[0.00146484375000000 99.9511718750000],0.25,0.5,1.0,,,3.43199348281220,8.89873993497085
12,adam,g,12,4.98738226522612,0.0001,False,[0 -10],[8.94069671630859e-7 -6.00004255771637],[0.000732421875000000 99.9755859375000],0.25,0.5,1.0,,,3.43196057218711,9.49873822652261
13,adam,g,13,1.01254718545709,0.0001,False,[0 10],[2.23517417907715e-7 5.99998936057091],[0.000366210937500000 99.9877929687500],0.25,0.5,1.0,,,3.43194895353305,8.89874528145429
14,adam,g,14,4.98739549732511,0.0001,False,[0 -10],[5.58793544769287e-8 -6.00000265985727],[0.000183105468750000 99.9938964843750],0.25,0.5,1.0,,,3.43194485442000,9.49873954973251
15,adam,g,15,1.01254384390510,0.0001,False,[0 10],[1.39698386192322e-8 5.99999933503568],[9.15527343750000e-5 99.9969482421875],0.25,0.5,1.0,,,3.43194340953312,8.89874561560949
16,adam,g,16,4.98739632433129,0.0001,False,[0 -10],[3.49245965480804e-9 -6.00000016624108],[4.57763671875000e-5 99.9984741210938],0.25,0.5,1.0,,,3.43194290086386,9.49873963243313
17,adam,g,17,1.01254363505809,0.0001,False,[0 10],[8.73114913702011e-10 5.99999995843973],[2.28881835937500e-5 99.9992370605469],0.25,0.5,1.0,,,3.43194272209991,8.89874563649419
18,adam,g,18,4.98739637601917,0.0001,False,[0 -10],[2.18278728425503e-10 -6.00000001039007],[1.14440917968750e-5 99.9996185302734],0.25,0.5,1.0,,,3.43194265942869,9.49873963760192
19,adam,g,19,1.01254362200516,0.0001,False,[0 10],[5.45696821063757e-11 5.99999999740248],[5.72204589843750e-6 99.9998092651367],0.25,0.5,1.0,,,3.43194263753147,8.89874563779948
20,adam,g,20,4.98739637924967,0.0001,False,[0 -10],[1.36424205265939e-11 -6.00000000064938],[2.86102294921875e-6 99.9999046325684],0.25,0.5,1.0,,,3.43194262991620,9.49873963792497
21,adam,g,21,1.01254362118935,0.0001,False,[0 10],[3.41060513164848e-12 5.99999999983766],[1.43051147460938e-6 99.9999523162842],0.25,0.5,1.0,,,3.43194262728464,8.89874563788107
22,adam,g,22,4.98739637945157,0.0001,False,[0 -10],[8.52651282912120e-13 -6.00000000004059],[7.15255737304688e-7 99.9999761581421],0.25,0.5,1.0,,,3.43194262638306,9.49873963794516
23,adam,g,23,1.01254362113837,0.0001,False,[0 10],[2.13162820728030e-13 5.99999999998985],[3.57627868652344e-7 99.9999880790710],0.25,0.5,1.0,,,3.43194262607768,8.89874563788616
24,adam,g,24,4.98739637946418,0.0001,False,[0 -10],[5.32907051820075e-14 -6.00000000000254],[1.78813934326172e-7 99.9999940395355],0.25,0.5,1.0,,,3.43194262597576,9.49873963794642
25,adam,g,25,1.01254362113519,0.0001,False,[0 10],[1.33226762955019e-14 5.99999999999937],[8.94069671630859e-8 99.9999970197678],0.25,0.5,1.0,,,3.43194262594237,8.89874563788648
26,adam,g,26,4.98739637946496,0.0001,False,[0 -10],[3.33066907387547e-15 -6.00000000000016],[4.47034835815430e-8 99.9999985098839],0.25,0.5,1.0,,,3.43194262593167,9.49873963794650
27,adam,g,27,1.01254362113499,0.0001,False,[0 10],[8.32667268468867e-16 5.99999999999996],[2.23517417907715e-8 99.9999992549419],0.25,0.5,1.0,,,3.43194262592834,8.89874563788650
28,adam,g,28,4.98739637946501,0.0001,False,[0 -10],[2.08166817117217e-16 -6.00000000000001],[1.11758708953857e-8 99.9999996274710],0.25,0.5,1.0,,,3.43194262592732,9.49873963794650
29,adam,g,29,1.01254362113497,0.0001,False,[0 10],[5.20417042793042e-17 6.00000000000000],[5.58793544769287e-9 99.9999998137355],0.25,0.5,1.0,,,3.43194262592703,8.89874563788650
30,adam,g,30,4.98739637946501,0.0001,False,[0 -10],[1.30104260698261e-17 -6.00000000000000],[2.79396772384644e-9 99.9999999068677],0.25,0.5,1.0,,,3.43194262592694,9.49873963794650
31,adam,g,31,1.01254362113497,0.0001,False,[0 10],[3.25260651745651e-18 6.00000000000000],[1.39698386192322e-9 99.9999999534339],0.25,0.5,1.0,,,3.43194262592692,8.89874563788650
32,adam,g,32,4.98739637946501,0.0001,False,[0 -10],[8.13151629364128e-19 -6.00000000000000],[6.98491930961609e-10 99.9999999767169],0.25,0.5,1.0,,,3.43194262592691,9.49873963794650
33,adam,g,33,1.01254362113497,0.0001,False,[0 10],[2.03287907341032e-19 6.00000000000000],[3.49245965480804e-10 99.9999999883585],0.25,0.5,1.0,,,3.43194262592691,8.89874563788650
34,adam,g,34,4.98739637946501,0.0001,False,[0 -10],[5.08219768352580e-20 -6.00000000000000],[1.74622982740402e-10 99.9999999941792],0.25,0.5,1.0,,,3.43194262592691,9.49873963794650
35,adam,g,35,1.01254362113497,0.0001,False,[0 10],[1.27054942088145e-20 6.00000000000000],[8.73114913702011e-11 99.9999999970896],0.25,0.5,1.0,,,3.43194262592691,8.89874563788650
36,adam,g,36,4.98739637946501,0.0001,False,[0 -10],[3.17637355220363e-21 -6.00000000000000],[4.36557456851006e-11 99.9999999985448],0.25,0.5,1.0,,,3.43194262592691,9.49873963794650
37,adam,g,37,1.01254362113497,0.0001,False,[0 10],[7.94093388050907e-22 6.00000000000000],[2.18278728425503e-11 99.9999999992724],0.25,0.5,1.0,,,3.43194262592691,8.89874563788650
38,adam,g,38,4.98739637946501,0.0001,False,[0 -10],[1.98523347012727e-22 -6.00000000000000],[1.09139364212751e-11 99.9999999996362],0.25,0.5,1.0,,,3.43194262592691,9.49873963794650
39,adam,g,39,1.01254362113497,0.0001,False,[0 10],[4.96308367531817e-23 6.00000000000000],[5.45696821063757e-12 99.9999999998181],0.25,0.5,1.0,,,3.43194262592691,8.89874563788650
40,adam,g,40,4.98739637946501,0.0001,False,[0 -10],[1.24077091882954e-23 -6.00000000000000],[2.72848410531878e-12 99.9999999999091],0.25,0.5,1.0,,,3.43194262592691,9.49873963794650
41,adam,g,41,1.01254362113497,0.0001,False,[0 10],[3.10192729707385e-24 6.00000000000000],[1.36424205265939e-12 99.9999999999545],0.25,0.5,1.0,,,3.43194262592691,8.89874563788650
42,adam,g,42,4.98739637946501,0.0001,False,[0 -10],[7.75481824268463e-25 -6.00000000000000],[6.82121026329696e-13 99.9999999999773],0.25,0.5,1.0,,,3.43194262592691,9.49873963794650
43,adam,g,43,1.01254362113497,0.0001,False,[0 10],[1.93870456067116e-25 6.00000000000000],[3.41060513164848e-13 99.9999999999886],0.25,0.5,1.0,,,3.43194262592691,8.89874563788650
44,adam,g,44,4.98739637946501,0.0001,False,[0 -10],[4.84676140167790e-26 -6.00000000000000],[1.70530256582424e-13 99.9999999999943],0.25,0.5,1.0,,,3.43194262592691,9.49873963794650
45,adam,g,45,1.01254362113497,0.0001,False,[0 10],[1.21169035041947e-26 6.00000000000000],[8.52651282912120e-14 99.9999999999972],0.25,0.5,1.0,,,3.43194262592691,8.89874563788650
46,adam,g,46,4.98739637946501,0.0001,False,[0 -10],[3.02922587604869e-27 -6.00000000000000],[4.26325641456060e-14 99.9999999999986],0.25,0.5,1.0,,,3.43194262592691,9.49873963794650
47,adam,g,47,1.01254362113497,0.0001,False,[0 10],[7.57306469012171e-28 6.00000000000000],[2.13162820728030e-14 99.9999999999993],0.25,0.5,1.0,,,3.43194262592691,8.89874563788650
48,adam,g,48,4.98739637946501,0.0001,False,[0 -10],[1.89326617253043e-28 -6.00000000000000],[1.06581410364015e-14 99.9999999999996],0.25,0.5,1.0,,,3.43194262592691,9.49873963794650
49,adam,g,49,1.01254362113497,0.0001,False,[0 10],[4.73316543132607e-29 6.00000000000000],[5.32907051820075e-15 99.9999999999998],0.25,0.5,1.0,,,3.43194262592691,8.89874563788650
50,adam,g,50,4.98739637946501,0.0001,False,[0 -10],[1.18329135783152e-29 -6.00000000000000],[2.66453525910038e-15 99.9999999999999],0.25,0.5,1.0,,,3.43194262592691,9.49873963794650
51,adam,g,51,1.01254362113497,0.0001,False,[0 10],[2.95822839457879e-30 6.00000000000000],[1.33226762955019e-15 100.000000000000],0.25,0.5,1.0,,,3.43194262592691,8.89874563788650
52,adam,g,52,4.98739637946501,0.0001,False,[0 -10],[7.39557098644699e-31 -6.00000000000000],[6.66133814775094e-16 100.000000000000],0.25,0.5,1.0,,,3.43194262592691,9.49873963794650
53,adam,g,53,1.01254362113497,0.0001,False,[0 10],[1.84889274661175e-31 6.00000000000000],[3.33066907387547e-16 100.000000000000],0.25,0.5,1.0,,,3.43194262592691,8.89874563788650
54,adam,g,54,4.98739637946501,0.0001,False,[0 -10],[4.62223186652937e-32 -6.00000000000000],[1.66533453693773e-16 100.000000000000],0.25,0.5,1.0,,,3.43194262592691,9.49873963794650
55,adam,g,55,1.01254362113497,0.0001,False,[0 10],[1.15555796663234e-32 6.00000000000000],[8.32667268468867e-17 100.000000000000],0.25,0.5,1.0,,,3.43194262592691,8.89874563788650
56,adam,g,56,4.98739637946501,0.0001,False,[0 -10],[2.88889491658085e-33 -6.00000000000000],[4.16333634234434e-17 100.000000000000],0.25,0.5,1.0,,,3.43194262592691,9.49873963794650
57,adam,g,57,1.01254362113497,0.0001,False,[0 10],[7.22223729145213e-34 6.00000000000000],[2.08166817117217e-17 100.000000000000],0.25,0.5,1.0,,,3.43194262592691,8.89874563788650
