,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,adam,g,0,,,11,0.0001,False,[1 10],[0. 0.],[0. 0.],0.25,0.9,0.01,,,6,10
1,adam,g,1,,[0.999900009999000 0.999990000099999],10.8900019998900,0.0001,False,[1 10],[0.750000000000000 7.50000000000000],[0.100000000000000 10.0000000000000],0.25,0.9,0.01,,,5.99000099990001,9.99000009999900
2,adam,g,2,,[0.999900009999000 0.999990000099999],10.7800039997800,0.0001,False,[1 10],[0.937500000000000 9.37500000000000],[0.190000000000000 19.0000000000000],0.25,0.9,0.01,,,5.98000199980002,9.98000019999800
3,adam,g,3,,[0.999900009999000 0.999990000099999],10.6700059996700,0.0001,False,[1 10],[0.984375000000000 9.84375000000000],[0.271000000000000 27.1000000000000],0.25,0.9,0.01,,,5.97000299970003,9.97000029999700
4,adam,g,4,,[0.999900009999000 0.999990000099999],10.5600079995600,0.0001,False,[1 10],[0.996093750000000 9.96093750000000],[0.343900000000000 34.3900000000000],0.25,0.9,0.01,,,5.96000399960004,9.96000039999600
5,adam,g,5,,[0.999900009999000 0.999990000099999],10.4500099994500,0.0001,False,[1 10],[0.999023437500000 9.99023437500000],[0.409510000000000 40.9510000000000],0.25,0.9,0.01,,,5.95000499950005,9.95000049999500
6,adam,g,6,,[0.999900009999000 0.999990000099999],10.3400119993400,0.0001,False,[1 10],[0.999755859375000 9.99755859375000],[0.468559000000000 46.8559000000000],0.25,0.9,0.01,,,5.94000599940006,9.94000059999400
7,adam,g,7,,[0.999900009999000 0.999990000099999],10.2300139992300,0.0001,False,[1 10],[0.999938964843750 9.99938964843750],[0.521703100000000 52.1703100000000],0.25,0.9,0.01,,,5.93000699930007,9.93000069999300
8,adam,g,8,,[0.999900009999000 0.999990000099999],10.1200159991200,0.0001,False,[1 10],[0.999984741210938 9.99984741210938],[0.569532790000000 56.9532790000000],0.25,0.9,0.01,,,5.92000799920008,9.92000079999200
9,adam,g,9,,[0.999900009999000 0.999990000099999],10.0100179990100,0.0001,False,[1 10],[0.999996185302734 9.99996185302734],[0.612579511000000 61.2579511000000],0.25,0.9,0.01,,,5.91000899910009,9.91000089999100
10,adam,g,10,,[0.999900009999000 0.999990000099999],9.90001999890005,0.0001,False,[1 10],[0.999999046325684 9.99999046325684],[0.651321559900000 65.1321559900000],0.25,0.9,0.01,,,5.90000999900010,9.90000099999000
11,adam,g,11,,[0.999900009999000 0.999990000099999],9.79002199879006,0.0001,False,[1 10],[0.999999761581421 9.99999761581421],[0.686189403910000 68.6189403910000],0.25,0.9,0.01,,,5.89001099890011,9.89000109998899
12,adam,g,12,,[0.999900009999000 0.999990000099999],9.68002399868006,0.0001,False,[1 10],[0.999999940395355 9.99999940395355],[0.717570463519000 71.7570463519000],0.25,0.9,0.01,,,5.88001199880012,9.88000119998799
13,adam,g,13,,[0.999900009999000 0.999990000099999],9.57002599857007,0.0001,False,[1 10],[0.999999985098839 9.99999985098839],[0.745813417167100 74.5813417167100],0.25,0.9,0.01,,,5.87001299870013,9.87000129998699
14,adam,g,14,,[0.999900009999000 0.999990000099999],9.46002799846007,0.0001,False,[1 10],[0.999999996274710 9.99999996274710],[0.771232075450390 77.1232075450390],0.25,0.9,0.01,,,5.86001399860014,9.86000139998599
15,adam,g,15,,[0.999900009999000 0.999990000099999],9.35002999835008,0.0001,False,[1 10],[0.999999999068677 9.99999999068677],[0.794108867905351 79.4108867905351],0.25,0.9,0.01,,,5.85001499850015,9.85000149998499
16,adam,g,16,,[0.999900009999000 0.999990000099999],9.24003199824008,0.0001,False,[1 10],[0.999999999767169 9.99999999767169],[0.814697981114816 81.4697981114816],0.25,0.9,0.01,,,5.84001599840016,9.84000159998399
17,adam,g,17,,[0.999900009999000 0.999990000099999],9.13003399813009,0.0001,False,[1 10],[0.999999999941792 9.99999999941792],[0.833228183003334 83.3228183003334],0.25,0.9,0.01,,,5.83001699830017,9.83000169998299
18,adam,g,18,,[0.999900009999000 0.999990000099999],9.02003599802010,0.0001,False,[1 10],[0.999999999985448 9.99999999985448],[0.849905364703001 84.9905364703001],0.25,0.9,0.01,,,5.82001799820018,9.82000179998199
19,adam,g,19,,[0.999900009999000 0.999990000099999],8.91003799791010,0.0001,False,[1 10],[0.999999999996362 9.99999999996362],[0.864914828232701 86.4914828232701],0.25,0.9,0.01,,,5.81001899810019,9.81000189998099
20,adam,g,20,,[0.999900009999000 0.999990000099999],8.80003999780011,0.0001,False,[1 10],[0.999999999999091 9.99999999999091],[0.878423345409431 87.8423345409431],0.25,0.9,0.01,,,5.80001999800020,9.80000199997999
21,adam,g,21,,[0.999900009999000 0.999990000099999],8.69004199769011,0.0001,False,[1 10],[0.999999999999773 9.99999999999773],[0.890581010868488 89.0581010868488],0.25,0.9,0.01,,,5.79002099790021,9.79000209997899
22,adam,g,22,,[0.999900009999000 0.999990000099999],8.58004399758012,0.0001,False,[1 10],[0.999999999999943 9.99999999999943],[0.901522909781639 90.1522909781639],0.25,0.9,0.01,,,5.78002199780022,9.78000219997799
23,adam,g,23,,[0.999900009999000 0.999990000099999],8.47004599747012,0.0001,False,[1 10],[0.999999999999986 9.99999999999986],[0.911370618803475 91.1370618803475],0.25,0.9,0.01,,,5.77002299770023,9.77000229997699
24,adam,g,24,,[0.999900009999000 0.999990000099999],8.36004799736013,0.0001,False,[1 10],[0.999999999999996 9.99999999999996],[0.920233556923127 92.0233556923128],0.25,0.9,0.01,,,5.76002399760024,9.76000239997599
25,adam,g,25,,[0.999900009999000 0.999990000099999],8.25004999725013,0.0001,False,[1 10],[0.999999999999999 9.99999999999999],[0.928210201230815 92.8210201230815],0.25,0.9,0.01,,,5.75002499750025,9.75000249997499
26,adam,g,26,,[0.999900009999000 0.999990000099999],8.14005199714014,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.935389181107733 93.5389181107733],0.25,0.9,0.01,,,5.74002599740026,9.74000259997399
27,adam,g,27,,[0.999900009999000 0.999990000099999],8.03005399703014,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.941850262996960 94.1850262996960],0.25,0.9,0.01,,,5.73002699730027,9.73000269997299
28,adam,g,28,,[0.999900009999000 0.999990000099999],7.92005599692015,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.947665236697264 94.7665236697264],0.25,0.9,0.01,,,5.72002799720028,9.72000279997199
29,adam,g,29,,[0.999900009999000 0.999990000099999],7.81005799681015,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.952898713027538 95.2898713027538],0.25,0.9,0.01,,,5.71002899710029,9.71000289997099
30,adam,g,30,,[0.999900009999000 0.999990000099999],7.70005999670016,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.957608841724784 95.7608841724784],0.25,0.9,0.01,,,5.70002999700030,9.70000299996999
31,adam,g,31,,[0.999900009999000 0.999990000099999],7.59006199659016,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.961847957552305 96.1847957552306],0.25,0.9,0.01,,,5.69003099690031,9.69000309996899
32,adam,g,32,,[0.999900009999000 0.999990000099999],7.48006399648017,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.965663161797075 96.5663161797075],0.25,0.9,0.01,,,5.68003199680032,9.68000319996798
33,adam,g,33,,[0.999900009999000 0.999990000099999],7.37006599637017,0.0001,False,[1 10],[1.00000000000000 10.0000000000000],[0.969096845617367 96.9096845617368],0.25,0.9,0.01,,,5.67003299670033,9.67000329996698
