,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,adam,f,0,,,13,0.0001,False,[12 20],[0. 0.],[0. 0.],0.9,0.5,0.1,,,6,10
1,adam,f,1,,[0.999991666736111 0.999995000025000],10.0683162899069,0.0001,False,[12 20],[1.20000000000000 2.00000000000000],[72.0000000000000 200.000000000000],0.9,0.5,0.1,,,5.90000083332639,9.90000049999750
2,adam,f,2,,[1.03391889320426 1.01373988453847],7.58614049890855,0.0001,False,[8.74802429981999 18.0000099999500],[1.95480242998200 3.60000099999500],[74.2639645751206 262.000179999150],0.9,0.5,0.1,,,5.79660894400596,9.79862651154365
3,adam,f,3,,[1.09588302651959 1.03836400895569],5.49567750674744,0.0001,False,[6.06620078067146 15.9725302308730],[2.36594226505095 4.83725392308280],[55.5313782432698 258.560950987652],0.9,0.5,0.1,,,5.68702064135400,9.69479011064808
4,adam,f,4,,[1.19280983605994 1.07599348540479],3.75961654669418,0.0001,False,[3.89126316138903 13.8958022129617],[2.51847435468475 5.74310875207069],[35.3366536172266 225.827135064701],0.9,0.5,0.1,,,5.56773965774801,9.58719076210761
5,adam,f,5,,[1.33350870734859 1.13047783584802],2.35493148556667,0.0001,False,[2.19598283400118 11.7438152421521],[2.48622520261640 6.34317940107883],[20.0794971122272 181.872165753253],0.9,0.5,0.1,,,5.43438878701315,9.47414297852280
6,adam,f,6,,[1.52471570830705 1.20918657474517],1.26662414144790,0.0001,False,[0.983596703555623 9.48285957045607],[2.33596235271032 6.65714741801655],[10.5234797937363 135.898395693121],0.9,0.5,0.1,,,5.28191721618245,9.35322432104829
7,adam,f,7,,[1.76616264956906 1.32675976299232],0.486784574262733,0.0001,False,[0.268872286755417 7.06448642096572],[2.12925334611483 6.69788131831147],[5.29788605016072 92.9026820425653],0.9,0.5,0.1,,,5.10530095122554,9.22054834474905
8,adam,f,8,,[2.06465578190885 1.51246716155289],0.0483413788262349,0.0001,False,[0.0140112902293083 4.41096689498107],[1.91772914052628 6.46918987597843],[2.64904118320730 56.1796554955921],0.9,0.5,0.1,,,4.89883537303465,9.06930162859376
9,adam,f,9,,[2.44371377634098 1.80359517489603],0.166104138403112,0.0001,False,[-0.0124241675447954 1.38603257187526],[1.72471380971917 5.96087414556812],[1.32459777157324 29.0503708929456],0.9,0.5,0.1,,,4.65446399540056,8.88894211110416
10,adam,f,10,,[2.60276350196903 1.91447147090985],1.31917892570728,0.0001,False,[-0.495063796233646 -2.22115777791683],[1.50273604912389 5.14267095321962],[0.784842966957255 16.9919563836730],0.9,0.5,0.1,,,4.39418764520365,8.69749496401317
11,adam,f,11,,[0.795662416515826 1.13235920850805],2.39038320252893,0.0001,False,[-2.66806019741350 -6.05010071973652],[1.08565642447015 4.02339378592401],[3.95169409198971 26.7978375513147],0.9,0.5,0.1,,,4.31462140355207,8.58425904316237
12,adam,f,12,,[0.267923086502630 0.561231972968512],2.99827496984861,0.0001,False,[-3.86342832435701 -8.31481913675262],[0.590747949587433 2.78957249365634],[9.43888625471688 47.9670274141111],0.9,0.5,0.1,,,4.28782909490181,8.52813584586552
13,adam,f,13,,[0.0350554681269446 0.253795506242816],3.25953736261328,0.0001,False,[-4.33444930004104 -9.43728308268962],[0.0982282246245859 1.56688693602175],[14.1131684946716 68.5146696984654],0.9,0.5,0.1,,,4.28432354808911,8.50275629524124
