,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0
0,adam,relu,0,[1000.00000000000],[0],1,0.0001,False,[1],[0.],[0.],0.9,0.25,0.1,[0],[0],1
1,adam,relu,1,[1000.00000000000],[0.999900009999000],0.900009999000100,0.0001,False,[1],[0.100000000000000],[0.750000000000000],0.9,0.25,0.1,[0],[0],0.900009999000100
2,adam,relu,2,[1000.00000000000],[0.999900009999000],0.800019998000200,0.0001,False,[1],[0.190000000000000],[0.937500000000000],0.9,0.25,0.1,[0],[0],0.800019998000200
3,adam,relu,3,[1000.00000000000],[0.999900009999000],0.700029997000300,0.0001,False,[1],[0.271000000000000],[0.984375000000000],0.9,0.25,0.1,[0],[0],0.700029997000300
4,adam,relu,4,[1000.00000000000],[0.999900009999000],0.600039996000400,0.0001,False,[1],[0.343900000000000],[0.996093750000000],0.9,0.25,0.1,[0],[0],0.600039996000400
5,adam,relu,5,[1000.00000000000],[0.999900009999000],0.500049995000500,0.0001,False,[1],[0.409510000000000],[0.999023437500000],0.9,0.25,0.1,[0],[0],0.500049995000500
6,adam,relu,6,[1000.00000000000],[0.999900009999000],0.400059994000600,0.0001,False,[1],[0.468559000000000],[0.999755859375000],0.9,0.25,0.1,[0],[0],0.400059994000600
7,adam,relu,7,[1000.00000000000],[0.999900009999000],0.300069993000700,0.0001,False,[1],[0.521703100000000],[0.999938964843750],0.9,0.25,0.1,[0],[0],0.300069993000700
8,adam,relu,8,[1000.00000000000],[0.999900009999000],0.200079992000800,0.0001,False,[1],[0.569532790000000],[0.999984741210938],0.9,0.25,0.1,[0],[0],0.200079992000800
9,adam,relu,9,[1000.00000000000],[0.999900009999000],0.100089991000900,0.0001,False,[1],[0.612579511000000],[0.999996185302734],0.9,0.25,0.1,[0],[0],0.100089991000900
10,adam,relu,10,[1000.00000000000],[0.999900009999000],9.99900010001387e-5,0.0001,False,[1],[0.651321559900000],[0.999999046325684],0.9,0.25,0.1,[0],[0],9.99900010001387e-5
11,adam,relu,11,[1000.00000000000],[0.999900009999000],-0.0998900109988999,0.0001,False,[1],[0.686189403910000],[0.999999761581421],0.9,0.25,0.1,[0],[0],-0.0998900109988999
12,adam,relu,12,[1000.00000000000],[1.72093769380980],-0.271983780379880,0.0001,False,[0],[0.617570463519000],[0.249999940395355],0.9,0.25,0.1,[0],[0],-0.271983780379880
13,adam,relu,13,[1000.00000000000],[2.97978679371320],-0.569962459751200,0.0001,False,[0],[0.555813417167100],[0.0624999850988388],0.9,0.25,0.1,[0],[0],-0.569962459751200
14,adam,relu,14,[1000.00000000000],[5.18476639341024],-1.08843909909222,0.0001,False,[0],[0.500232075450390],[0.0156249962747097],0.9,0.25,0.1,[0],[0],-1.08843909909222
15,adam,relu,15,[1000.00000000000],[9.05648594777113],-1.99408769386934,0.0001,False,[0],[0.450208867905351],[0.00390624906867743],0.9,0.25,0.1,[0],[0],-1.99408769386934
16,adam,relu,16,[1000.00000000000],[15.8643550479032],-3.58052319865966,0.0001,False,[0],[0.405187981114816],[0.000976562267169356],0.9,0.25,0.1,[0],[0],-3.58052319865966
