,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,heavy_ball,g,0,90,0.0001,,[0 -10],,,0.25,0.5,0.01,,0,0,0
1,heavy_ball,g,1,89.0000000000000,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.100000000000000],0,0.100000000000000
2,heavy_ball,g,2,87.7500000000000,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.125000000000000],0,0.225000000000000
3,heavy_ball,g,3,86.4375000000000,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.131250000000000],0,0.356250000000000
4,heavy_ball,g,4,85.1093750000000,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.132812500000000],0,0.489062500000000
5,heavy_ball,g,5,83.7773437500000,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133203125000000],0,0.622265625000000
6,heavy_ball,g,6,82.4443359375000,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133300781250000],0,0.755566406250000
7,heavy_ball,g,7,81.1110839843750,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133325195312500],0,0.888891601562500
8,heavy_ball,g,8,79.7777709960938,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133331298828125],0,1.02222290039062
9,heavy_ball,g,9,78.4444427490234,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133332824707031],0,1.15555572509766
10,heavy_ball,g,10,77.1111106872559,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333206176758],0,1.28888893127441
11,heavy_ball,g,11,75.7777776718140,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333301544189],0,1.42222223281860
12,heavy_ball,g,12,74.4444444179535,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333325386047],0,1.55555555820465
13,heavy_ball,g,13,73.1111111044884,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333331346512],0,1.68888888955116
14,heavy_ball,g,14,71.7777777761221,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333332836628],0,1.82222222238779
15,heavy_ball,g,15,70.4444444440305,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333209157],0,1.95555555559695
16,heavy_ball,g,16,69.1111111110076,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333302289],0,2.08888888889924
17,heavy_ball,g,17,67.7777777777519,0.0001,,[0 -10],,,0.25,0.5,0.01,,[0 -0.133333333325572],0,2.22222222222481
