,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,heavy_ball,f,0,,,13,0.0001,,[12 20],,,0.25,0.5,0.5,,0,6,10
1,heavy_ball,f,1,,,2685,0.0001,,[12 20],,,0.25,0.5,0.5,,[6.00000000000000 10.0000000000000],0,0
2,heavy_ball,f,2,,,916737876602.688,0.0001,,[-1500 -180],,,0.25,0.5,0.5,,[-748.500000000000 -87.5000000000000],748.500000000000,87.5000000000000
3,heavy_ball,f,3,,,1.10942328038648e+38,0.0001,,[4932012454.50000 1570.00000000000],,,0.25,0.5,0.5,,[2466006040.12500 763.125000000000],-2466005291.62500,-675.625000000000
4,heavy_ball,f,4,,,1.96632054529499e+116,0.0001,,[-1.79954727900195e+29 -13692.5000000000],,,0.25,0.5,0.5,,[-8.99773639500974e+28 -6655.46875000000],8.99773639500974e+28,5979.84375000000
5,heavy_ball,f,5,,,1.09477644116527e+351,0.0001,,[8.74140098785528e+87 119416.875000000],,,0.25,0.5,0.5,,[4.37070049392764e+87 58044.5703125000],-4.37070049392764e+87,-52064.7265625000
6,heavy_ball,f,6,,,1.88946486903303e+1055,0.0001,,[-1.00192309464927e+264 -1041474.53125000],,,0.25,0.5,0.5,,[-5.00961547324636e+263 -506226.123046875],5.00961547324636e+263,454161.396484375
7,heavy_ball,f,7,,,9.71357183936036e+3167,0.0001,,[1.50867057890861e+792 9083047.92968750],,,0.25,0.5,0.5,,[7.54335289454305e+791 4414967.43408203],-7.54335289454305e+791,-3960806.03759766
8,heavy_ball,f,8,,,1.31977337135829e+9506,0.0001,,[-5.15079804705267e+2376 -79216300.7519531],,,0.25,0.5,0.5,,[-2.57539902352634e+2376 -38504408.5174561],2.57539902352634e+2376,34543602.4798584
9,heavy_ball,f,9,,,3.31024834100183e+28520,0.0001,,[2.04981575173731e+7130 690871869.597168],,,0.25,0.5,0.5,,[1.02490787586865e+7130 335809832.669220],-1.02490787586865e+7130,-301266230.189362
10,heavy_ball,f,10,,,5.22329099889327e+85563,0.0001,,[-1.29192034481977e+21391 -6025324783.78723],,,0.25,0.5,0.5,,[-6.45960172409886e+21390 -2928709933.72631],6.45960172409886e+21390,2627443703.53695
