,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,heavy_ball,g,0,11,0.0001,,[1 10],,,0.25,0.5,1.0,,0,6,10
1,heavy_ball,g,1,90,0.0001,,[1 10],,,0.25,0.5,1.0,,[1.00000000000000 10.0000000000000],5.00000000000000,0
2,heavy_ball,g,2,15.0000000000000,0.0001,,[1/2 -10],,,0.25,0.5,1.0,,[0.750000000000000 -7.50000000000000],4.25000000000000,7.50000000000000
3,heavy_ball,g,3,103.750000000000,0.0001,,[0 -10],,,0.25,0.5,1.0,,[0.187500000000000 -11.8750000000000],4.06250000000000,19.3750000000000
4,heavy_ball,g,4,33.4375000000000,0.0001,,[0 10],,,0.25,0.5,1.0,,[0.0468750000000000 7.03125000000000],4.01562500000000,12.3437500000000
5,heavy_ball,g,5,84.1406250000000,0.0001,,[0 10],,,0.25,0.5,1.0,,[0.0117187500000000 11.7578125000000],4.00390625000000,0.585937500000000
6,heavy_ball,g,6,13.5351562500000,0.0001,,[0 -10],,,0.25,0.5,1.0,,[0.00292968750000000 -7.06054687500000],4.00097656250000,7.64648437500000
7,heavy_ball,g,7,104.116210937500,0.0001,,[0 -10],,,0.25,0.5,1.0,,[0.000732421875000000 -11.7651367187500],4.00024414062500,19.4116210937500
8,heavy_ball,g,8,33.5290527343750,0.0001,,[0 10],,,0.25,0.5,1.0,,[0.000183105468750000 7.05871582031250],4.00006103515625,12.3529052734375
9,heavy_ball,g,9,84.1177368164063,0.0001,,[0 10],,,0.25,0.5,1.0,,[4.57763671875000e-5 11.7646789550781],4.00001525878906,0.588226318359375
10,heavy_ball,g,10,13.5294342041016,0.0001,,[0 -10],,,0.25,0.5,1.0,,[1.14440917968750e-5 -7.05883026123047],4.00000381469727,7.64705657958984
11,heavy_ball,g,11,104.117641448975,0.0001,,[0 -10],,,0.25,0.5,1.0,,[2.86102294921875e-6 -11.7647075653076],4.00000095367432,19.4117641448975
12,heavy_ball,g,12,33.5294103622437,0.0001,,[0 10],,,0.25,0.5,1.0,,[7.15255737304688e-7 7.05882310867310],4.00000023841858,12.3529410362244
13,heavy_ball,g,13,84.1176474094391,0.0001,,[0 10],,,0.25,0.5,1.0,,[1.78813934326172e-7 11.7647057771683],4.00000005960464,0.588235259056091
14,heavy_ball,g,14,13.5294118523598,0.0001,,[0 -10],,,0.25,0.5,1.0,,[4.47034835815430e-8 -7.05882355570793],4.00000001490116,7.64705881476402
15,heavy_ball,g,15,104.117647036910,0.0001,,[0 -10],,,0.25,0.5,1.0,,[1.11758708953857e-8 -11.7647058889270],4.00000000372529,19.4117647036910
16,heavy_ball,g,16,33.5294117592275,0.0001,,[0 10],,,0.25,0.5,1.0,,[2.79396772384644e-9 7.05882352776825],4.00000000093132,12.3529411759228
17,heavy_ball,g,17,84.1176470601931,0.0001,,[0 10],,,0.25,0.5,1.0,,[6.98491930961609e-10 11.7647058819421],4.00000000023283,0.588235293980688
18,heavy_ball,g,18,13.5294117650483,0.0001,,[0 -10],,,0.25,0.5,1.0,,[1.74622982740402e-10 -7.05882352951448],4.00000000005821,7.64705882349517
19,heavy_ball,g,19,104.117647058738,0.0001,,[0 -10],,,0.25,0.5,1.0,,[4.36557456851006e-11 -11.7647058823786],4.00000000001455,19.4117647058738
