,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,heavy_ball,g,0,,,11,0.0001,,[1 10],,,0.9,0.5,0.5,,0,6,10
1,heavy_ball,g,1,,,40.5000000000000,0.0001,,[1 10],,,0.9,0.5,0.5,,[0.500000000000000 5.00000000000000],5.50000000000000,5.00000000000000
2,heavy_ball,g,2,,,35.0000000000000,0.0001,,[1 -10],,,0.9,0.5,0.5,,[0.950000000000000 -0.500000000000000],4.55000000000000,5.50000000000000
3,heavy_ball,g,3,,,19.5000000000000,0.0001,,[0 -10],,,0.9,0.5,0.5,,[0.855000000000000 -5.45000000000000],3.69500000000000,10.9500000000000
4,heavy_ball,g,4,,,18.5500000000000,0.0001,,[0 10],,,0.9,0.5,0.5,,[0.769500000000000 0.0949999999999998],2.92550000000000,10.8550000000000
5,heavy_ball,g,5,,,32.3050000000000,0.0001,,[0 10],,,0.9,0.5,0.5,,[0.692550000000000 5.08550000000000],2.23295000000000,5.76950000000000
6,heavy_ball,g,6,,,28.0745000000000,0.0001,,[0 -10],,,0.9,0.5,0.5,,[0.623295000000000 -0.423050000000000],1.60965500000000,6.19255000000000
7,heavy_ball,g,7,,,25.7329500000000,0.0001,,[0 -10],,,0.9,0.5,0.5,,[0.560965500000000 -5.38074500000000],1.04868950000000,11.5732950000000
8,heavy_ball,g,8,,,24.1596550000000,0.0001,,[0 10],,,0.9,0.5,0.5,,[0.504868950000000 0.157329499999999],0.543820550000000,11.4159655000000
9,heavy_ball,g,9,,,27.2563105000000,0.0001,,[0 10],,,0.9,0.5,0.5,,[0.454382055000000 5.14159655000000],0.0894384949999996,6.27436895000000
10,heavy_ball,g,10,,,23.5306794500000,0.0001,,[0 -10],,,0.9,0.5,0.5,,[0.408943849500000 -0.372563105000000],-0.319505354500000,6.64693205500000
11,heavy_ball,g,11,,,29.8223884950000,0.0001,,[0 -10],,,0.9,0.5,0.5,,[0.368049464550000 -5.33530679450000],-0.687554819050000,11.9822388495000
12,heavy_ball,g,12,,,27.8401496455000,0.0001,,[0 10],,,0.9,0.5,0.5,,[0.331244518095000 0.198223884950000],-1.01879933714500,11.7840149645500
13,heavy_ball,g,13,,,23.9438653190500,0.0001,,[0 10],,,0.9,0.5,0.5,,[0.298120066285500 5.17840149645500],-1.31691940343050,6.60561346809500
14,heavy_ball,g,14,,,20.5494787871450,0.0001,,[0 -10],,,0.9,0.5,0.5,,[0.268308059656950 -0.339438653190500],-1.58522746308745,6.94505212128550
15,heavy_ball,g,15,,,32.5054690915695,0.0001,,[0 -10],,,0.9,0.5,0.5,,[0.241477253691255 -5.30549478787145],-1.82670471677871,12.2505469091570
16,heavy_ball,g,16,,,30.2549221824126,0.0001,,[0 10],,,0.9,0.5,0.5,,[0.217329528322130 0.225054690915695],-2.04403424510084,12.0254922182413
17,heavy_ball,g,17,,,21.7705700358287,0.0001,,[0 10],,,0.9,0.5,0.5,,[0.195596575489917 5.20254922182412],-2.23963082059075,6.82294299641713
18,heavy_ball,g,18,,,18.5935130322458,0.0001,,[0 -10],,,0.9,0.5,0.5,,[0.176036917940925 -0.317705700358288],-2.41566773853168,7.14064869677542
19,heavy_ball,g,19,,,34.2658382709788,0.0001,,[0 -10],,,0.9,0.5,0.5,,[0.158433226146832 -5.28593513032246],-2.57410096467851,12.4265838270979
20,heavy_ball,g,20,,,31.8392544438809,0.0001,,[0 10],,,0.9,0.5,0.5,,[0.142589903532149 0.242658382709787],-2.71669086821066,12.1839254443881
21,heavy_ball,g,21,,,20.3446710005071,0.0001,,[0 10],,,0.9,0.5,0.5,,[0.128330913178934 5.21839254443881],-2.84502178138959,6.96553289994929
22,heavy_ball,g,22,,,17.3102039004564,0.0001,,[0 -10],,,0.9,0.5,0.5,,[0.115497821861041 -0.303446710005073],-2.96051960325063,7.26897960995436
23,heavy_ball,g,23,,,35.4208164895892,0.0001,,[0 -10],,,0.9,0.5,0.5,,[0.103948039674937 -5.27310203900457],-3.06446764292557,12.5420816489589
24,heavy_ball,g,24,,,32.8787348406303,0.0001,,[0 10],,,0.9,0.5,0.5,,[0.0935532357074431 0.254208164895891],-3.15802087863301,12.2878734840630
