,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0
0,heavy_ball,relu,0,[0.164692930918157],[0.00953861686847897],1,0.0001,True,[1],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],0,1
1,heavy_ball,relu,1,[0.164692930918157],[0.00953861686847897],0.900000000000000,0.0001,True,[1],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.100000000000000],0.900000000000000
2,heavy_ball,relu,2,[0.164692930918157],[0.00953861686847897],0.710000000000000,0.0001,True,[1],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.190000000000000],0.710000000000000
3,heavy_ball,relu,3,[0.164692930918157],[0.00953861686847897],0.439000000000000,0.0001,True,[1],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.271000000000000],0.439000000000000
4,heavy_ball,relu,4,[0.164692930918157],[0.00953861686847897],0.0950999999999999,0.0001,True,[1],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.343900000000000],0.0950999999999999
5,heavy_ball,relu,5,[0.164692930918157],[0.00953861686847897],-0.314410000000000,0.0001,True,[1],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.409510000000000],-0.314410000000000
6,heavy_ball,relu,6,[0.164692930918157],[0.00953861686847897],-0.682969000000000,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.368559000000000],-0.682969000000000
7,heavy_ball,relu,7,[0.164692930918157],[0.00953861686847897],-1.01467210000000,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.331703100000000],-1.01467210000000
8,heavy_ball,relu,8,[0.164692930918157],[0.00953861686847897],-1.31320489000000,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.298532790000000],-1.31320489000000
9,heavy_ball,relu,9,[0.164692930918157],[0.00953861686847897],-1.58188440100000,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.268679511000000],-1.58188440100000
10,heavy_ball,relu,10,[0.164692930918157],[0.00953861686847897],-1.82369596090000,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.241811559900000],-1.82369596090000
11,heavy_ball,relu,11,[0.164692930918157],[0.00953861686847897],-2.04132636481000,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.217630403910000],-2.04132636481000
12,heavy_ball,relu,12,[0.164692930918157],[0.00953861686847897],-2.23719372832900,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0.368559000000000],[0.195867363519000],-2.23719372832900
