,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,rmsprop,f,0,13,0.0001,False,[-12 -20],,,0.25,0.5,0.01,[0. 0.],,4,8
1,rmsprop,f,1,8.19908608000001,0.0001,False,[-12 -20],,,0.25,0.5,0.01,[108.000000000000 300.000000000000],,4.12000000000000,8.20000000000000
2,rmsprop,f,2,7.98864746174702,0.0001,False,[-8.17766400000000 -16.0000000000000],,,0.25,0.5,0.01,[77.1556413726720 267.000000000000],,4.12786888513452,8.20923755097401
3,rmsprop,f,3,7.76549149326906,0.0001,False,[-7.96024783094170 -15.8152489805198],,,0.25,0.5,0.01,[66.8130694906770 254.341575236875],,4.13693117192447,8.21891626693527
4,rmsprop,f,4,7.54180683053114,0.0001,False,[-7.71467330779379 -15.6216746612945],,,0.25,0.5,0.01,[61.3404055571588 246.612933226717],,4.14636920542339,8.22871153187958
5,rmsprop,f,5,7.32129127450788,0.0001,False,[-7.46434093097965 -15.4257693624084],,,0.25,0.5,0.01,[57.1223905397133 240.119003623342],,4.15589963772702,8.23853435093071
6,rmsprop,f,6,7.10482872855820,0.0001,False,[-7.21711301382072 -15.2293129813857],,,0.25,0.5,0.01,[53.3456378256236 233.978731319588],,4.16544856471731,8.24836233045775
7,rmsprop,f,7,6.89258532238990,0.0001,False,[-6.97494152803775 -15.0327533908450],,,0.25,0.5,0.01,[49.8237664460650 227.982438712368],,4.17499816445762,8.25818993116533
8,rmsprop,f,8,6.68455747330947,0.0001,False,[-6.73823247547720 -14.8362013766933],,,0.25,0.5,0.01,[46.5087742816980 222.080263145439],,4.18454416732040,8.26801575889747
9,rmsprop,f,9,6.48070258391020,0.0001,False,[-6.50702651412037 -14.6396848220505],,,0.25,0.5,0.01,[43.3832391120236 216.260344553092],,4.19408549390205,8.27783943038744
10,rmsprop,f,10,6.28096952213272,0.0001,False,[-6.28128016708049 -14.4432113922511],,,0.25,0.5,0.01,[40.4366701810250 210.519852629213],,4.20362180881395,8.28766080709629
11,rmsprop,f,11,6.08530569232835,0.0001,False,[-6.06093073879133 -14.2467838580742],,,0.25,0.5,0.01,[37.6603286105754 204.858100881316],,4.21315294771416,8.29747980830938
12,rmsprop,f,12,5.89365867324101,0.0001,False,[-5.84591118010783 -14.0504038338123],,,0.25,0.5,0.01,[35.0460902969261 199.274911140235],,4.22267878333927,8.30729636550644
13,rmsprop,f,13,5.70597659675061,0.0001,False,[-5.63615348383385 -13.8540726898713],,,0.25,0.5,0.01,[32.5861921442309 193.770225357236],,4.23219919412078,8.31711041114821
14,rmsprop,f,14,5.52220823479994,0.0001,False,[-5.43158945989921 -13.6577917770358],,,0.25,0.5,0.01,[30.2731710817239 188.344013507960],,4.24171405673834,8.32692187583826
15,rmsprop,f,15,5.34230301866356,0.0001,False,[-5.23215091279520 -13.4615624832348],,,0.25,0.5,0.01,[28.0998451511287 182.996251744516],,4.25122324424773,8.33673068751610
16,rmsprop,f,16,5.16621104249820,0.0001,False,[-5.03776968283420 -13.2653862496780],,,0.25,0.5,0.01,[26.0593038207447 177.726917200988],,4.26072662550028,8.34653677113658
17,rmsprop,f,17,4.99388306320876,0.0001,False,[-4.84837765644411 -13.0692645772684],,,0.25,0.5,0.01,[24.1449003798160 172.535986743229],,4.27022406485470,8.35634004845872
18,rmsprop,f,18,4.82527049941688,0.0001,False,[-4.66390676945551 -12.8731990308257],,,0.25,0.5,0.01,[22.3502448605837 167.423436651246],,4.27971542194825,8.36614043785159
19,rmsprop,f,19,4.66032543017515,0.0001,False,[-4.48428900883217 -12.6771912429681],,,0.25,0.5,0.01,[20.6691971511957 162.389242520902],,4.28920055147240,8.37593785409394
20,rmsprop,f,20,4.49900059357309,0.0001,False,[-4.30945641408556 -12.4812429181211],,,0.25,0.5,0.01,[19.0958602264763 157.433379216086],,4.29867930293953,8.38573220816084
21,rmsprop,f,21,4.34124938526531,0.0001,False,[-4.13934107865630 -12.2853558367831],,,0.25,0.5,0.01,[17.6245734807077 152.555820831307],,4.30815152043691,8.39552340699493
22,rmsprop,f,22,4.18702585692535,0.0001,False,[-3.97387515132890 -12.0895318601015],,,0.25,0.5,0.01,[16.2499061589389 147.756540655133],,4.31761704236628,8.40531135326031
23,rmsprop,f,23,4.03628471462191,0.0001,False,[-3.81299083769685 -11.8937729347939],,,0.25,0.5,0.01,[14.9666508860048 143.035511132110],,4.32707570116787,8.41509594507755
