,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,rmsprop,g,0,10,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0. 0.],,4,8
1,rmsprop,g,1,9.00000000000000,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 75.0000000000000],,4,8.10000000000000
2,rmsprop,g,2,8.88453127948001,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 93.7500000000000],,4,8.11154687205200
3,rmsprop,g,3,8.78125279023680,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 98.4375000000000],,4,8.12187472097632
4,rmsprop,g,4,8.68046327996378,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.6093750000000],,4,8.13195367200362
5,rmsprop,g,5,8.58026839730167,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9023437500000],,4,8.14197316026983
6,rmsprop,g,6,8.48022053435226,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9755859375000],,4,8.15197794656477
7,rmsprop,g,7,8.38020932531958,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9938964843750],,4,8.16197906746804
8,rmsprop,g,8,8.28020727347310,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9984741210938],,4,8.17197927265269
9,rmsprop,g,9,8.18020751053018,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9996185302734],,4,8.18197924894698
10,rmsprop,g,10,8.08020831978858,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999046325684],,4,8.19197916802114
11,rmsprop,g,11,7.98020927209578,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999761581421],,4,8.20197907279042
12,rmsprop,g,12,7.88021026016509,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999940395355],,4,8.21197897398349
13,rmsprop,g,13,7.78021125717490,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999985098839],,4,8.22197887428251
14,rmsprop,g,14,7.68021225641986,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999996274710],,4,8.23197877435801
15,rmsprop,g,15,7.58021325622360,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999999068677],,4,8.24197867437764
16,rmsprop,g,16,7.48021425616704,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999999767169],,4,8.25197857438330
17,rmsprop,g,17,7.38021525614540,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999999941792],,4,8.26197847438546
18,rmsprop,g,18,7.28021625613248,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999999985448],,4,8.27197837438675
19,rmsprop,g,19,7.18021725612175,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999999996362],,4,8.28197827438782
20,rmsprop,g,20,7.08021825611157,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999999999091],,4,8.29197817438884
21,rmsprop,g,21,6.98021925610153,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999999999773],,4,8.30197807438985
22,rmsprop,g,22,6.88022025609152,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999999999943],,4,8.31197797439085
23,rmsprop,g,23,6.78022125608152,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999999999986],,4,8.32197787439185
24,rmsprop,g,24,6.68022225607151,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999999999996],,4,8.33197777439285
25,rmsprop,g,25,6.58022325606151,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 99.9999999999999],,4,8.34197767439385
26,rmsprop,g,26,6.48022425605150,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.35197757439485
27,rmsprop,g,27,6.38022525604150,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.36197747439585
28,rmsprop,g,28,6.28022625603149,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.37197737439685
29,rmsprop,g,29,6.18022725602149,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.38197727439785
30,rmsprop,g,30,6.08022825601148,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.39197717439885
31,rmsprop,g,31,5.98022925600148,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.40197707439985
32,rmsprop,g,32,5.88023025599147,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.41197697440085
33,rmsprop,g,33,5.78023125598147,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.42197687440185
34,rmsprop,g,34,5.68023225597146,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.43197677440285
35,rmsprop,g,35,5.58023325596146,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.44197667440385
36,rmsprop,g,36,5.48023425595145,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.45197657440485
37,rmsprop,g,37,5.38023525594145,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.46197647440585
38,rmsprop,g,38,5.28023625593145,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.47197637440686
39,rmsprop,g,39,5.18023725592144,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.48197627440786
40,rmsprop,g,40,5.08023825591144,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.49197617440886
41,rmsprop,g,41,4.98023925590143,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.50197607440986
42,rmsprop,g,42,4.88024025589143,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.51197597441086
43,rmsprop,g,43,4.78024125588142,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.52197587441186
44,rmsprop,g,44,4.68024225587142,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.53197577441286
45,rmsprop,g,45,4.58024325586141,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.54197567441386
46,rmsprop,g,46,4.48024425585141,0.0001,False,[0 -10],,,0.25,0.5,0.01,[0 100.000000000000],,4,8.55197557441486
