,iteration,x,f(x),sum,epsilon,converged,gradient,alpha_n
0,0,[4 8],13,[0. 0.],0.0001,False,[-12 -20],[0.01 0.01]
1,1,[4.12000000000000 8.20000000000000],8.19908608000001,[108.000000000000 300.000000000000],0.0001,False,[-12 -20],[0.000962241189479213 0.000577346935875537]
2,2,[4.12786888513452 8.20923755097401],7.98864746174702,[77.1556413726720 267.000000000000],0.0001,False,[-8.17766400000000 -16.0000000000000],[0.00113844279505064 0.000611986316066673]
3,3,[4.13693117192447 8.21891626693527],7.76549149326906,[66.8130694906770 254.341575236875],0.0001,False,[-7.96024783094170 -15.8152489805198],[0.00122338731950998 0.000627030402097390]
4,4,[4.14636920542339 8.22871153187958],7.54180683053114,[61.3404055571588 246.612933226717],0.0001,False,[-7.71467330779379 -15.6216746612945],[0.00127679488272994 0.000636779846784851]
5,5,[4.15589963772702 8.23853435093071],7.32129127450788,[57.1223905397133 240.119003623342],0.0001,False,[-7.46434093097965 -15.4257693624084],[0.00132309511739767 0.000645333084890317]
6,6,[4.16544856471731 8.24836233045775],7.10482872855820,[53.3456378256236 233.978731319588],0.0001,False,[-7.21711301382072 -15.2293129813857],[0.00136912971985834 0.000653745887534313]
7,7,[4.17499816445762 8.25818993116533],6.89258532238990,[49.8237664460650 227.982438712368],0.0001,False,[-6.97494152803775 -15.0327533908450],[0.00141669241860057 0.000662287298659564]
8,8,[4.18454416732040 8.26801575889747],6.68455747330947,[46.5087742816980 222.080263145439],0.0001,False,[-6.73823247547720 -14.8362013766933],[0.00146631131146468 0.000671030258463752]
9,9,[4.19408549390205 8.27783943038744],6.48070258391020,[43.3832391120236 216.260344553092],0.0001,False,[-6.50702651412037 -14.6396848220505],[0.00151821199791017 0.000679999512720343]
10,10,[4.20362180881395 8.28766080709629],6.28096952213272,[40.4366701810250 210.519852629213],0.0001,False,[-6.28128016708049 -14.4432113922511],[0.00157255367384571 0.000689208266996304]
11,11,[4.21315294771416 8.29747980830938],6.08530569232835,[37.6603286105754 204.858100881316],0.0001,False,[-6.06093073879133 -14.2467838580742],[0.00162948688949003 0.000698667263458120]
12,12,[4.22267878333927 8.30729636550644],5.89365867324101,[35.0460902969261 199.274911140235],0.0001,False,[-5.84591118010783 -14.0504038338123],[0.00168916811950245 0.000708387047005038]
13,13,[4.23219919412078 8.31711041114821],5.70597659675061,[32.5861921442309 193.770225357236],0.0001,False,[-5.63615348383385 -13.8540726898713],[0.00175176395193389 0.000718378552713673]
14,14,[4.24171405673834 8.32692187583826],5.52220823479994,[30.2731710817239 188.344013507960],0.0001,False,[-5.43158945989921 -13.6577917770358],[0.00181745283495860 0.000728653281523456]
15,15,[4.25122324424773 8.33673068751610],5.34230301866356,[28.0998451511287 182.996251744516],0.0001,False,[-5.23215091279520 -13.4615624832348],[0.00188642630585753 0.000739223376983444]
16,16,[4.26072662550028 8.34653677113658],5.16621104249820,[26.0593038207447 177.726917200988],0.0001,False,[-5.03776968283420 -13.2653862496780],[0.00195889017469448 0.000750101680486866]
17,17,[4.27022406485470 8.35634004845872],4.99388306320876,[24.1449003798160 172.535986743229],0.0001,False,[-4.84837765644411 -13.0692645772684],[0.00203506578555767 0.000761301784382526]
18,18,[4.27971542194825 8.36614043785159],4.82527049941688,[22.3502448605837 167.423436651246],0.0001,False,[-4.66390676945551 -12.8731990308257],[0.00211519139499465 0.000772838088072874]
19,19,[4.28920055147240 8.37593785409394],4.66032543017515,[20.6691971511957 162.389242520902],0.0001,False,[-4.48428900883217 -12.6771912429681],[0.00219952368845221 0.000784725858726780]
20,20,[4.29867930293953 8.38573220816084],4.49900059357309,[19.0958602264763 157.433379216086],0.0001,False,[-4.30945641408556 -12.4812429181211],[0.00228833945243685 0.000796981297421382]
21,21,[4.30815152043691 8.39552340699493],4.34124938526531,[17.6245734807077 152.555820831307],0.0001,False,[-4.13934107865630 -12.2853558367831],[0.00238193742100942 0.000809621611377734]
22,22,[4.31761704236628 8.40531135326031],4.18702585692535,[16.2499061589389 147.756540655133],0.0001,False,[-3.97387515132890 -12.0895318601015],[0.00248064031732551 0.000822665092976207]
23,23,[4.32707570116787 8.41509594507755],4.03628471462191,[14.9666508860048 143.035511132110],0.0001,False,[-3.81299083769685 -11.8937729347939],[0.00258479711359300 0.000836131206309171]
24,24,[4.33652732302764 8.42487707573789],3.88898131711243,[13.7698172930100 138.392703822446],0.0001,False,[-3.65662040168401 -11.6980810984491],[0.00269478553593074 0.000850040682122153]
25,25,[4.34597172756665 8.43465463339477],3.74507167404800,[12.6546257411536 133.828089359150],0.0001,False,[-3.50469616712607 -11.5024584852421],[0.00281101484420311 0.000864415622104952]
26,26,[4.35540872751095 8.44442850073034],3.60451244408320,[11.6165011427969 129.341637402388],0.0001,False,[-3.35715051941543 -11.3069073321046],[0.00293392892103915 0.000879279613621590]
27,27,[4.36483812834091 8.45419855459468],3.46726093288331,[10.6510668796758 124.933316590819],0.0001,False,[-3.21391590721279 -11.1114299853933],[0.00306400970901162 0.000894657856114896]
28,28,[4.37425972791811 8.46396466561489],3.33327509102129,[9.75413881816186 120.603094489667],0.0001,False,[-3.07492484422908 -10.9160289081065],[0.00320178104045394 0.000910577300591106]
29,29,[4.38367331608826 8.47372669777101],3.20251351175559,[8.92171942147092 116.350937535224],0.0001,False,[-2.94010991108166 -10.7207066877022],[0.00334781291075812 0.000927066803786043]
30,30,[4.39307867425824 8.48348450793531],3.07493542867916,[8.14999195871584 112.176810975509],0.0001,False,[-2.80940375722871 -10.5254660445799],[0.00350272625337256 0.000944157298841848]
31,31,[4.40247557494522 8.49323794537127],2.95050071322934,[7.43531481069754 108.080678806725],0.0001,False,[-2.68273910298624 -10.3303098412937],[0.00366719828328161 0.000961881984587604]
32,32,[4.41186378129565 8.50298685118767],2.82916987204648,[6.77421587232437 104.062503705141],0.0001,False,[-2.56004874163234 -10.1352410925746],[0.00384196848570986 0.000980276535825154]
33,33,[4.42124304657174 8.51273105774322],2.71090404416877,[6.16338705154722 100.122246953989],0.0001,False,[-2.44126554160368 -9.94026297624660],[0.00402784533840407 0.000999379337381259]
34,34,[4.43061311360273 8.52247038799600],2.59566499804863,[5.59967886469368 96.2598683649110],0.0001,False,[-2.32632244878961 -9.74537884513569],[0.00422571386940526 0.00101923174510857]
35,35,[4.43997371419804 8.53220465479167],2.48341512837489,[5.08009512808132 92.4753261934361],0.0001,False,[-2.21515248892949 -9.55059224008008],[0.00443654416809407 0.00103987837751294]
36,36,[4.44932456851927 8.54193366008334],2.37411745268289,[4.60178774578596 88.7685770479324],0.0001,False,[-2.10768877011942 -9.35590690416655],[0.00466140098590640 0.00106136744226767]
37,37,[4.45866538440730 8.55165719407507],2.26773560773273,[4.16205159343702 85.1395757913762],0.0001,False,[-2.00386448543492 -9.16132679833316],[0.00490145458499757 0.00108375110256393]
38,38,[4.46799585666091 8.56137503428002],2.16423384563354,[3.75831949790784 81.5882754352372],0.0001,False,[-1.90361291567678 -8.96685611849870],[0.00515799301891266 0.00110708588906322]
39,39,[4.47731566626254 8.57108694448281],2.06357702968898,[3.38815731276396 78.1146270246653],0.0001,False,[-1.80686743224731 -8.77249931439960],[0.00543243605976455 0.00113143316418804]
40,40,[4.48662447954666 8.58079267359412],1.96573062993609,[3.04925908932840 74.7185795140942],0.0001,False,[-1.71356150016563 -8.57826111034382],[0.00572635102245835 0.00115685964664450]
41,41,[4.49592194730552 8.59049195438405],1.87066071834606,[2.73944234321752 71.4000796322342],0.0001,False,[-1.62362868123038 -8.38414652811767],[0.00604147077926559 0.00118343800545671]
