,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,rmsprop,f,0,0.5,,13,0.0001,False,[12 20],,,0.25,0.5,0.5,[0. 0.],,6,10
1,rmsprop,f,1,[0.0481120594739607 0.0288673467937769],,2685,0.0001,False,[12 20],,,0.25,0.5,0.5,[108.000000000000 300.000000000000],,0,0
2,rmsprop,f,2,[0.000384897070666111 0.00320256102482101],,61062454.6781136,0.0001,False,[-1500 -180],,,0.25,0.5,0.5,[1687527.00000000 24375.0000000000],,72.1680892109410,5.19612242287984
3,rmsprop,f,3,[1.58770252760912e-7 0.00489476417159163],,9456864144023.12,0.0001,False,[3636388.09444178 -76.0775515424033],,,0.25,0.5,0.5,[9917489201930.21 10434.5953865153],,-1327.46703614482,5.43976542431335
4,rmsprop,f,4,[2.03370850189082e-11 0.00624451604897568],,304806158510596.,0.0001,False,[-28389037439.1776 -71.2046915137331],,,0.25,0.5,0.5,[6.04453087521644e+20 6411.22991680323],,3179.86761371239,5.78829559718400
5,rmsprop,f,5,[1.50239729497449e-12 0.00729531837198669],,301818010554032.,0.0001,False,[384023771188.470 -64.2340880563199],,,0.25,0.5,0.5,[1.10756805900241e+23 4697.32103052111],,3172.05768962845,6.18940639094301
6,rmsprop,f,6,[1.35247601897337e-12 0.00839870915765694],,301599754988433.,0.0001,False,[381196732275.958 -56.2118721811398],,,0.25,0.5,0.5,[1.36672412998462e+23 3544.16118821188],,3171.48498068903,6.59948989478985
7,rmsprop,f,7,[1.32206161469928e-12 0.00977804426824596],,301403486467420.,0.0001,False,[380989970680.672 -48.0102021042031],,,0.25,0.5,0.5,[1.43033121569060e+23 2614.77492661779],,3170.96970089021,7.00271361886338
8,rmsprop,f,8,[1.31525651660919e-12 0.0116233559581636],,301211817801014.,0.0001,False,[380804006282.980 -39.9457276227324],,,0.25,0.5,0.5,[1.44517048793141e+23 1850.43959813659],,3170.46625453078,7.39330471188575
9,rmsprop,f,9,[1.31404204875197e-12 0.0142159208921793],,301021317328821.,0.0001,False,[380622371026.523 -32.1339057622850],,,0.25,0.5,0.5,[1.44784304192674e+23 1237.05082418871],,3169.96563847692,7.76680853688687
