,alg,function_name,iteration,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0,x1
0,rmsprop,g,0,11,0.0001,False,[1 10],,,0.25,0.5,1.0,[0. 0.],,6,10
1,rmsprop,g,1,90,0.0001,False,[1 10],,,0.25,0.5,1.0,[0.750000000000000 75.0000000000000],,5.00000000000000,0
2,rmsprop,g,2,78.4531279480012,0.0001,False,[1/2 -10],,,0.25,0.5,1.0,[0.375000000000000 93.7500000000000],,4.42271638977993,1.15468720519988
3,rmsprop,g,3,68.1252790236798,0.0001,False,[0 -10],,,0.25,0.5,1.0,[0.0937500000000000 98.4375000000000],,4.42271638977993,2.18747209763202
4,rmsprop,g,4,58.0463279963781,0.0001,False,[0 -10],,,0.25,0.5,1.0,[0.0234375000000000 99.6093750000000],,4.42271638977993,3.19536720036219
5,rmsprop,g,5,48.0268397301667,0.0001,False,[0 -10],,,0.25,0.5,1.0,[0.00585937500000000 99.9023437500000],,4.42271638977993,4.19731602698333
6,rmsprop,g,6,38.0220534352254,0.0001,False,[0 -10],,,0.25,0.5,1.0,[0.00146484375000000 99.9755859375000],,4.42271638977993,5.19779465647746
7,rmsprop,g,7,28.0209325319572,0.0001,False,[0 -10],,,0.25,0.5,1.0,[0.000366210937500000 99.9938964843750],,4.42271638977993,6.19790674680428
8,rmsprop,g,8,18.0207273473092,0.0001,False,[0 -10],,,0.25,0.5,1.0,[9.15527343750000e-5 99.9984741210938],,4.42271638977993,7.19792726526908
9,rmsprop,g,9,8.02075105301661,0.0001,False,[0 -10],,,0.25,0.5,1.0,[2.28881835937500e-5 99.9996185302734],,4.42271638977993,8.19792489469834
10,rmsprop,g,10,1.97916802114282,0.0001,False,[0 -10],,,0.25,0.5,1.0,[5.72204589843750e-6 99.9999046325684],,4.42271638977993,9.19791680211428
11,rmsprop,g,11,8.02073674813681,0.0001,True,[0 10],,,0.25,0.5,1.0,[1.43051147460938e-6 99.9999761581421],,4.42271638977993,8.19792632518632
