,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0
0,rmsprop,relu,0,0.1,[0.00912034456046449],100,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.],[0.000908510725824641],100
1,rmsprop,relu,1,[0.316127797629618],[0.00912034456046449],99.9000000000000,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.100000000000000],[0.000908510725824641],99.9000000000000
2,rmsprop,relu,2,[0.229363114363357],[0.00912034456046449],99.5838722023704,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.190000000000000],[0.000908510725824641],99.5838722023704
3,rmsprop,relu,3,[0.192057794316824],[0.00912034456046449],99.3545090880070,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.271000000000000],[0.000908510725824641],99.3545090880070
4,rmsprop,relu,4,[0.170494298780244],[0.00912034456046449],99.1624512936902,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.343900000000000],[0.000908510725824641],99.1624512936902
5,rmsprop,relu,5,[0.156242753354367],[0.00912034456046449],98.9919569949100,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.409510000000000],[0.000908510725824641],98.9919569949100
6,rmsprop,relu,6,[0.146067776010773],[0.00912034456046449],98.8357142415556,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.468559000000000],[0.000908510725824641],98.8357142415556
7,rmsprop,relu,7,[0.138429346305941],[0.00912034456046449],98.6896464655448,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.521703100000000],[0.000908510725824641],98.6896464655448
8,rmsprop,relu,8,[0.132489996926081],[0.00912034456046449],98.5512171192389,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.569532790000000],[0.000908510725824641],98.5512171192389
9,rmsprop,relu,9,[0.127750697976920],[0.00912034456046449],98.4187271223128,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.612579511000000],[0.000908510725824641],98.4187271223128
10,rmsprop,relu,10,[0.123893483247909],[0.00912034456046449],98.2909764243359,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.651321559900000],[0.000908510725824641],98.2909764243359
11,rmsprop,relu,11,[0.120705086489406],[0.00912034456046449],98.1670829410880,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.686189403910000],[0.000908510725824641],98.1670829410880
12,rmsprop,relu,12,[0.118036536402826],[0.00912034456046449],98.0463778545986,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.717570463519000],[0.000908510725824641],98.0463778545986
13,rmsprop,relu,13,[0.115780286080786],[0.00912034456046449],97.9283413181957,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.745813417167100],[0.000908510725824641],97.9283413181957
14,rmsprop,relu,14,[0.113856546895578],[0.00912034456046449],97.8125610321150,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.771232075450390],[0.000908510725824641],97.8125610321150
15,rmsprop,relu,15,[0.112204750514506],[0.00912034456046449],97.6987044852194,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.794108867905351],[0.000908510725824641],97.6987044852194
16,rmsprop,relu,16,[0.110778011971600],[0.00912034456046449],97.5864997347049,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.814697981114816],[0.000908510725824641],97.5864997347049
17,rmsprop,relu,17,[0.109539423140348],[0.00912034456046449],97.4757217227333,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.833228183003334],[0.000908510725824641],97.4757217227333
18,rmsprop,relu,18,[0.108459502696868],[0.00912034456046449],97.3661822995929,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.849905364703001],[0.000908510725824641],97.3661822995929
19,rmsprop,relu,19,[0.107514399398781],[0.00912034456046449],97.2577227968960,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.864914828232701],[0.000908510725824641],97.2577227968960
20,rmsprop,relu,20,[0.106684599295360],[0.00912034456046449],97.1502083974973,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.878423345409431],[0.000908510725824641],97.1502083974973
21,rmsprop,relu,21,[0.105953978042384],[0.00912034456046449],97.0435237982019,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.890581010868488],[0.000908510725824641],97.0435237982019
22,rmsprop,relu,22,[0.105309094528240],[0.00912034456046449],96.9375698201595,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.901522909781639],[0.000908510725824641],96.9375698201595
23,rmsprop,relu,23,[0.104738656408863],[0.00912034456046449],96.8322607256313,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.911370618803475],[0.000908510725824641],96.8322607256313
24,rmsprop,relu,24,[0.104233110182304],[0.00912034456046449],96.7275220692224,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.920233556923127],[0.000908510725824641],96.7275220692224
25,rmsprop,relu,25,[0.103784322868351],[0.00912034456046449],96.6232889590401,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.928210201230815],[0.000908510725824641],96.6232889590401
26,rmsprop,relu,26,[0.103385332007731],[0.00912034456046449],96.5195046361718,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.935389181107733],[0.000908510725824641],96.5195046361718
27,rmsprop,relu,27,[0.103030147264555],[0.00912034456046449],96.4161193041640,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.941850262996960],[0.000908510725824641],96.4161193041640
28,rmsprop,relu,28,[0.102713591462993],[0.00912034456046449],96.3130891568995,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.947665236697264],[0.000908510725824641],96.3130891568995
29,rmsprop,relu,29,[0.102431172085345],[0.00912034456046449],96.2103755654365,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.952898713027538],[0.000908510725824641],96.2103755654365
30,rmsprop,relu,30,[0.102178976536758],[0.00912034456046449],96.1079443933511,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.957608841724784],[0.000908510725824641],96.1079443933511
31,rmsprop,relu,31,[0.101953586126669],[0.00912034456046449],96.0057654168144,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.961847957552305],[0.000908510725824641],96.0057654168144
32,rmsprop,relu,32,[0.101752004918849],[0.00912034456046449],95.9038118306877,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.965663161797075],[0.000908510725824641],95.9038118306877
33,rmsprop,relu,33,[0.101571600489836],[0.00912034456046449],95.8020598257689,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.969096845617367],[0.000908510725824641],95.8020598257689
34,rmsprop,relu,34,[0.101410054298289],[0.00912034456046449],95.7004882252790,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.972187161055631],[0.000908510725824641],95.7004882252790
35,rmsprop,relu,35,[0.101265319867223],[0.00912034456046449],95.5990781709807,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.974968444950068],[0.000908510725824641],95.5990781709807
36,rmsprop,relu,36,[0.101135587360908],[0.00912034456046449],95.4978128511135,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.977471600455061],[0.000908510725824641],95.4978128511135
37,rmsprop,relu,37,[0.101019253429422],[0.00912034456046449],95.3966772637526,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.979724440409555],[0.000908510725824641],95.3966772637526
38,rmsprop,relu,38,[0.100914895418972],[0.00912034456046449],95.2956580103232,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.981751996368599],[0.000908510725824641],95.2956580103232
39,rmsprop,relu,39,[0.100821249221386],[0.00912034456046449],95.1947431149042,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.983576796731739],[0.000908510725824641],95.1947431149042
40,rmsprop,relu,40,[0.100737190173662],[0.00912034456046449],95.0939218656828,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.985219117058565],[0.000908510725824641],95.0939218656828
41,rmsprop,relu,41,[0.100661716527005],[0.00912034456046449],94.9931846755092,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.986697205352709],[0.000908510725824641],94.9931846755092
42,rmsprop,relu,42,[0.100593935091065],[0.00912034456046449],94.8925229589822,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.988027484817438],[0.000908510725824641],94.8925229589822
43,rmsprop,relu,43,[0.100533048728013],[0.00912034456046449],94.7919290238911,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.989224736335694],[0.000908510725824641],94.7919290238911
44,rmsprop,relu,44,[0.100478345426602],[0.00912034456046449],94.6913959751631,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.990302262702125],[0.000908510725824641],94.6913959751631
45,rmsprop,relu,45,[0.100429188731191],[0.00912034456046449],94.5909176297365,0.0001,False,[1],[9.12034456046449e-7],[3.37350334183377e-80],0.9,0.25,0.1,[0.991272036431912],[0.000908510725824641],94.5909176297365
