,iteration,z,x,f(x),sum,epsilon,converged,gradient
0,0,0,[0 0],2685,<built-in function sum>,0.0001,False,[-1500 -180]
1,1,[-1.50000000000000 -0.180000000000000],[1.50000000000000 0.180000000000000],1228.11150000000,<built-in function sum>,0.0001,False,[-1500 -180]
2,2,[-1.26450000000000 -0.266400000000000],[2.76450000000000 0.446400000000000],806.564556450990,<built-in function sum>,0.0001,False,[-514.500000000000 -176.400000000000]
3,3,[-0.766311868666500 -0.304272000000000],[3.53081186866650 0.750672000000000],694.491669540177,<built-in function sum>,0.0001,False,[-134.061868666500 -171.072000000000]
4,4,[-0.421211087995975 -0.317122560000000],[3.95202295666247 1.06779456000000],632.817329379677,<built-in function sum>,0.0001,False,[-38.0551536627250 -164.986560000000]
5,5,[-0.224416907439678 -0.317205388800000],[4.17643986410215 1.38499994880000],581.262332265198,<built-in function sum>,0.0001,False,[-13.8113634416908 -158.644108800000]
6,6,[-0.118911422488151 -0.310902695424000],[4.29535128659030 1.69590264422400],534.238007381140,<built-in function sum>,0.0001,False,[-6.70296876831171 -152.300001024000]
7,7,[-0.0636542603396732 -0.301533294827520],[4.35900554692998 1.99743593905152],490.865486334530,<built-in function sum>,0.0001,False,[-4.19854909559772 -146.081947115520]
8,8,[-0.0349875447739337 -0.290817928632730],[4.39399309170391 2.28825386768425],450.879966734840,<built-in function sum>,0.0001,False,[-3.16041460409711 -140.051281218970]
9,9,[-0.0201644039111088 -0.279643886962680],[4.41415749561502 2.56789775464693],414.072775224286,<built-in function sum>,0.0001,False,[-2.67063152414197 -134.234922646315]
10,10,[-0.0124950161496793 -0.268463988388401],[4.42665251176470 2.83636174303533],380.228550623844,<built-in function sum>,0.0001,False,[-2.41281419412488 -128.642044907061]
11,11,[-0.00850920802686751 -0.257504759333494],[4.43516171979157 3.09386650236882],349.129492853032,<built-in function sum>,0.0001,False,[-2.26169995202786 -123.272765139293]
12,12,[-0.00641709154532427 -0.246875049619371],[4.44157881133689 3.34074155198820],320.563783563605,<built-in function sum>,0.0001,False,[-2.16248753189052 -118.122669952623]
13,13,[-0.00529816382869616 -0.236622693769921],[4.44687697516559 3.57736424575812],294.330592408858,<built-in function sum>,0.0001,False,[-2.08961805603403 -113.185168960236]
14,14,[-0.00467978513533733 -0.226764061969798],[4.45155676030092 3.80412830772792],270.242250274692,<built-in function sum>,0.0001,False,[-2.03070322098924 -108.452715084838]
